id,sid,van,tot,cl,tekst
319,31,61003003,61003013,s60p,<span>3:3-13</span> <b>Oneerbiedigheid</b> Spotters.
320,31,61003014,61003017,s15p,<span>3:14-18-</span> <b>Vermaningen</b> tot streven.
321,31,61003018,61003018,s0p,<span>3:-18</span> <b>Groet en zaligspreking.</b>
322,32,,,,LITERAIRE STRUCTUUR
323,32,62001001,62002017,s0p,"<span>1:1 - 2:17</span> <b>Christus.</b> Schrijven, beproeven"
324,32,62002018,62002029,s15p,<span>2:18-29</span> <b>Antichrist.</b> Jezus niet de Christus?
325,32,62003001,62003024,s30p,"<span>3:1-24</span> <b>Liefde.</b> De Vader, de Zoon"
326,32,62004001,62004006,s15p,<span>4:1-6</span> <b>Antichrist.</b> Niet in het vlees gekomen?
327,32,62004007,62004021,s30p,<span>4:7-21</span> <b>Liefde</b> aan elkaar
328,32,62005001,62005021,s0p,"<span>5:1-21</span> <b>Christus.</b> Geloof, getuigenis"
329,33,,,,LITERAIRE STRUCTUUR
330,33,63001001,63001003,s0p,<span>1:1-3</span> <b>Groet en zaligspreking.</b> Aan de uitgekozen vrouw
331,33,63001004,63001006,s15p,<span>1:4-6</span> <b>Waarheid.</b> Wandelen in -
332,33,63001007,63001007,s30p,<span>1:7</span> <b>Jezus Christus komt niet in het vlees.</b> Bedrieger
333,33,63001008,63001008,s30p,<span>1:8</span> <b>Jezus Christus komt niet in het vlees.</b> Antichrist
334,33,63001009,63001011,s15p,<span>1:9-11</span> <b>Waarheid.</b> Zich houden aan -
335,33,63001012,63001013,s0p,<span>1:12-13</span> <b>Groet en zaligspreking.</b> Uitgekozen zuster groet
336,34,,,,LITERAIRE STRUCTUUR
337,34,64001001,64001002,s0p,<span>1:1-2</span> <b>Groet.</b> Oudste aan Gaius
338,34,64001003,64001004,s15p,<span>1:3-4</span> <b>Getuigen van waarheid.</b> Broeders
339,34,64001005,64001008,s30p,<span>1:5-8</span> <b>Opnemen.</b> Broeders
340,34,64001009,64001011,s30p,<span>1:9-11</span> <b>Opnemen.</b> Diothrefes
341,34,64001012,64001012,s15p,<span>1:12</span> <b>Getuigen van waarheid.</b> Demetrius
342,34,64001013,64001015,s0p,<span>1:13-15</span> <b>Groet.</b> aan vrienden
343,35,,,,LITERAIRE STRUCTUUR
344,35,65001001,65001002,s0p,<span>1:1-2</span> <b>Brief.</b> Introductie
345,35,65001003,65001003,s15p,<span>1:3</span> <b>Vermaning.</b> Strijden voor het geloof
346,35,65001004,65001004,s30p,<span>1:4</span> <b>Oneerbiedigheid.</b> Christus verloochenen
347,35,65001005,65001005,s45p,<span>1:5-</span> <b>Herinneringen.</b> Voorbeelden uit Exodus
