parsT,pars,vv,binjan,aspect,tijd,toestand,stam,vorm,modus,persoon,geslacht,getal,status,extra
V,V,V,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
W-Ni-Po-MMC,W-GGGOD-MMC,W,Ni,Po,G,G,G,O,D,NULL,M,M,C,NULL
W-Qa-Ki-3MM,WO-GHGAA-3MM,W,Qa,Ki,G,H,G,A,A,3,M,M,NULL,NULL
W-Hi-Ap-3ME,WO-GVCAA-3ME,W,Hi,Ap,G,V,C,A,A,3,M,E,NULL,NULL
W-Pu-Pf-3OM,W-GHVPA-3OM,W,Pu,Pf,G,H,V,P,A,3,O,M,NULL,NULL
W-Pu-Pp-VEA,W-GGVPD-VEA,W,Pu,Pp,G,G,V,P,D,NULL,V,E,A,NULL
D-VE,D-VE,D,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,V,E,NULL,NULL
W-Pu-Pf-3VE,W-GHVPA-3VE,W,Pu,Pf,G,H,V,P,A,3,V,E,NULL,NULL
W-Qa-Pp-VEC,W-GGGPD-VEC,W,Qa,Pp,G,G,G,P,D,NULL,V,E,C,NULL
W-Pu-Ip-3MM,W-GOVPA-3MM,W,Pu,Ip,G,O,V,P,A,3,M,M,NULL,NULL
W-Qa-Ip-2VE,W-GOGAA-2VE-N,W,Qa,Ip,G,O,G,A,A,2,V,E,NULL,N
W-Pi-Ap-3ME,WO-GVVAA-3ME,W,Pi,Ap,G,V,V,A,A,3,M,E,NULL,NULL
W-Ni-Ju-2VE,W-GGGOW-2VE,W,Ni,Ju,G,G,G,O,W,2,V,E,NULL,NULL
W-Pa-Pf-1OE,W-GHVPA-1OE,W,Pa,Pf,G,H,V,P,A,1,O,E,NULL,NULL
W-Pu-Pp-MEC,W-GGVPD-MEC,W,Pu,Pp,G,G,V,P,D,NULL,M,E,C,NULL
W-Qa-Pf-3MO,W-GHGAA-3MO-N,W,Qa,Pf,G,H,G,A,A,3,M,O,NULL,N
W-Ni-Ic-3VM,W-VGGOA-3VM,W,Ni,Ic,V,G,G,O,A,3,V,M,NULL,NULL
N-OMC,N-OMC,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,O,M,C,NULL
N-OTA,N-OTA,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,O,T,A,NULL
N-OTC,N-OTC,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,O,T,C,NULL
P-3MM,P-3MM,P,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,M,M,NULL,NULL
VPRT,VPRT,VPRT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
W-Ni-Po-MEC,W-GGGOD-MEC,W,Ni,Po,G,G,G,O,D,NULL,M,E,C,NULL
W-Ni-Po-VMC,W-GGGOD-VMC,W,Ni,Po,G,G,G,O,D,NULL,V,M,C,NULL
P-1OE,P-1OE,P,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,O,E,NULL,NULL
W-Hi-Ic-1OM,W-VGCAA-1OM,W,Hi,Ic,V,G,C,A,A,1,O,M,NULL,NULL
W-Hi-Ju-3MM,W-GGCAW-3MM,W,Hi,Ju,G,G,C,A,W,3,M,M,NULL,NULL
W-Ho-Ia,W-GGCPO,W,Ho,Ia,G,G,C,P,O,NULL,NULL,NULL,NULL,NULL
W-Ho-Ic-3ME,W-VGCPA-3ME,W,Ho,Ic,V,G,C,P,A,3,M,E,NULL,NULL
P-2ME,P-2ME,P,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,M,E,NULL,NULL
W-Ho-In,W-GGCPO,W,Ho,In,G,G,C,P,O,NULL,NULL,NULL,NULL,NULL
W-Pq-Pf-1OE,W-GHGPA-1OE,W,Pq,Pf,G,H,G,P,A,1,O,E,NULL,NULL
W-Pq-Pf-2MM,W-GHGPA-2MM,W,Pq,Pf,G,H,G,P,A,2,M,M,NULL,NULL
W-Qa-Pa-EMC,W-GGGAD-MEA,W,Qa,Pa,G,G,G,A,D,NULL,E,M,C,NULL
W-Hi-Ju-2VE,W-GGCAW-2VE,W,Hi,Ju,G,G,C,A,W,2,V,E,NULL,NULL
E-VEA,E-VEA,E,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,V,E,A,NULL
W-Pi-Ic-1OM,W-VGVAA-1OM,W,Pi,Ic,V,G,V,A,A,1,O,M,NULL,NULL
W-Pi-Ic-2ME,W-VGVAA-2ME,W,Pi,Ic,V,G,V,A,A,2,M,E,NULL,NULL
W-Pi-Ic-2MM,W-VGVAA-2MM,W,Pi,Ic,V,G,V,A,A,2,M,M,NULL,NULL
W-Pi-Ic-2VE,W-VGVAA-2VE,W,Pi,Ic,V,G,V,A,A,2,V,E,NULL,NULL
W-Pi-Ju-2MM,W-GGVAW-2MM,W,Pi,Ju,G,G,V,A,W,2,M,M,NULL,NULL
W-Pi-Ic-2VM,W-VGVAA-2VM,W,Pi,Ic,V,G,V,A,A,2,V,M,NULL,NULL
W-Pi-Ip-2MM,W-GOVAA-2MM-N,W,Pi,Ip,G,O,V,A,A,2,M,M,NULL,N
W-Pi-Ip-2VM,W-GOVAA-2VM,W,Pi,Ip,G,O,V,A,A,2,V,M,NULL,NULL
W-Hp-Ip-3VE,W-GOVRA-3VE,W,Hp,Ip,G,O,V,R,A,3,V,E,NULL,NULL
W-Hi-Ip-2MM,W-GOCAA-2MM-N,W,Hi,Ip,G,O,C,A,A,2,M,M,NULL,N
W-Hi-Ju-3MM,W-GGCAW-3MM-N,W,Hi,Ju,G,G,C,A,W,3,M,M,NULL,N
W-Hp-Ju-2ME,W-GGVRW-2ME,W,Hp,Ju,G,G,V,R,W,2,M,E,NULL,NULL
W-Ti-Ip-2ME,W-GOCAA-2ME,W,Ti,Ip,G,O,C,A,A,2,M,E,NULL,NULL
W-Ti-Pa-MEA,W-GGCAD-MEA,W,Ti,Pa,G,G,C,A,D,NULL,M,E,A,NULL
W-Hp-Pa-MEC,W-GGVRD-MEC,W,Hp,Pa,G,G,V,R,D,NULL,M,E,C,NULL
W-Hp-Pa-MMC,W-GGVRD-MMC,W,Hp,Pa,G,G,V,R,D,NULL,M,M,C,NULL
W-Pi-Ic-1OE,W-VGVAA-1OE-P,W,Pi,Ic,V,G,V,A,A,1,O,E,NULL,P
W-Qa-Ki-3MM,WO-GHGAA-3MM-N,W,Qa,Ki,G,H,G,A,A,3,M,M,NULL,N
W-Pq-Pf-1OM,W-GHGPA-1OM,W,Pq,Pf,G,H,G,P,A,1,O,M,NULL,NULL
W-Hp-Ip-2ME,W-GOVRA-2ME,W,Hp,Ip,G,O,V,R,A,2,M,E,NULL,NULL
W-Hp-Pf-3VE,W-GHVRA-3VE,W,Hp,Pf,G,H,V,R,A,3,V,E,NULL,NULL
W-Ni-Ip-1OM,W-GOGOA-1OM,W,Ni,Ip,G,O,G,O,A,1,O,M,NULL,NULL
W-Ho-Ic-3MM,W-VGCPA-3MM,W,Ho,Ic,V,G,C,P,A,3,M,M,NULL,NULL
W-Ho-Ip-2MM,W-GOCPA-2MM,W,Ho,Ip,G,O,C,P,A,2,M,M,NULL,NULL
