parsT,pars,vv,binjan,aspect,tijd,toestand,stam,vorm,modus,persoon,geslacht,getal,status,extra
S-2VE,S-2VE,S,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,V,E,NULL,NULL
S-2VE,S-2VE-N,S,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,V,E,NULL,N
S-2VM,S-2VM,S,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,V,M,NULL,NULL
S-3ME,S-3ME-N,S,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,M,E,NULL,N
S-3MM,S-3MM,S,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,M,M,NULL,NULL
S-3VE,S-3VE,S,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,V,E,NULL,NULL
S-3VE,S-3VE-N,S,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,V,E,NULL,N
S-3VM,S-3VM,S,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,V,M,NULL,NULL
W-Hp-Im-2ME,W-GGVRG-2ME-P,W,Hp,Im,G,G,V,R,G,2,M,E,NULL,P
W-Hp-Pf-2VE,W-GHVRA-2VE,W,Hp,Pf,G,H,V,R,A,2,V,E,NULL,NULL
W-Pi-Ki-3ME,WO-GHVAA-3ME,W,Pi,Ki,G,H,V,A,A,3,M,E,NULL,NULL
W-Pu-Pp-VMC,W-GGVPD-VMC,W,Pu,Pp,G,G,V,P,D,NULL,V,M,C,NULL
W-Pi-Ip-3ME,W-GOVAA-3ME-P,W,Pi,Ip,G,O,V,A,A,3,M,E,NULL,P
W-Ho-Pf-2VE,W-GHCPA-2VE,W,Ho,Pf,G,H,C,P,A,2,V,E,NULL,NULL
W-Nt-Pf-3OM,W-GHVRA-3OM,W,Nt,Pf,G,H,V,R,A,3,O,M,NULL,NULL
W-Hp-Im-2VM,W-GGVRG-2VM,W,Hp,Im,G,G,V,R,G,2,V,M,NULL,NULL
W-Hp-Pa-VMA,W-GGVRD-VMA,W,Hp,Pa,G,G,V,R,D,NULL,V,M,A,NULL
W-Ho-Pf-1OM,W-GHCPA-1OM,W,Ho,Pf,G,H,C,P,A,1,O,M,NULL,NULL
W-Tp-Pa-MEA,W-GGVRD-MEA,W,Tp,Pa,G,G,V,R,D,NULL,M,E,A,NULL
W-Hp-Ia,W-GGVRO,W,Hp,Ia,G,G,V,R,O,NULL,NULL,NULL,NULL,NULL
W-Pu-Pf-2MM,W-GHVPA-2MM,W,Pu,Pf,G,H,V,P,A,2,M,M,NULL,NULL
W-Hi-Ip-3ME,W-GOCAA-3ME-P,W,Hi,Ip,G,O,C,A,A,3,M,E,NULL,P
W-Pi-Im-2VM,W-GGVAG-2VM,W,Pi,Im,G,G,V,A,G,2,V,M,NULL,NULL
W-Ni-Ap-3OM,WO-GVGOA-3OM,W,Ni,Ap,G,V,G,O,A,3,O,M,NULL,NULL
W-Pi-Ki-3MM,WO-GHVAA-3MM,W,Pi,Ki,G,H,V,A,A,3,M,M,NULL,NULL
W-Pq-Ia,W-GGGPO,W,Pq,Ia,G,G,G,P,O,NULL,NULL,NULL,NULL,NULL
A-VEA,A-VEA-P,A,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,V,E,A,P
N-VEC,N-VEC-P,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,V,E,C,P
W-Pu-Pf-1OM,W-GHVPA-1OM,W,Pu,Pf,G,H,V,P,A,1,O,M,NULL,NULL
D-OE,D-OE,D,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,O,E,NULL,NULL
W-Pi-Ki-2ME,WO-GHVAA-2ME,W,Pi,Ki,G,H,V,A,A,2,M,E,NULL,NULL
W-Ni-Po-VEC,W-GGGOD-VEC,W,Ni,Po,G,G,G,O,D,NULL,V,E,C,NULL
W-Tp-Ip-3MM,W-GOVRA-3MM,W,Tp,Ip,G,O,V,R,A,3,M,M,NULL,NULL
W-Tp-Pf-3OM,W-GHVRA-3OM,W,Tp,Pf,G,H,V,R,A,3,O,M,NULL,NULL
W-Pq-Pp-VEA,W-GGGPD-VEA,W,Pq,Pp,G,G,G,P,D,NULL,V,E,A,NULL
E-MEC,E-MEC,E,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,M,E,C,NULL
A-VEA,A-VEA-L,A,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,V,E,A,L
W-Po-Ip-3ME,W-GOVAA-3ME,W,Po,Ip,G,O,V,A,A,3,M,E,NULL,NULL
W-Pi-Pa-VMC,W-GGVAD-VMC,W,Pi,Pa,G,G,V,A,D,NULL,V,M,C,NULL
W-Et-Pf-3OM,W-GHVRA-3OM,W,Et,Pf,G,H,V,R,A,3,O,M,NULL,NULL
W-Po-Pf-1OE,W-GHVAA-1OE,W,Po,Pf,G,H,V,A,A,1,O,E,NULL,NULL
W-Ho-Ip-1OE,W-GOCPA-1OE,W,Ho,Ip,G,O,C,P,A,1,O,E,NULL,NULL
W-Ho-Ip-2MM,W-GOCPA-2MM-N,W,Ho,Ip,G,O,C,P,A,2,M,M,NULL,N
W-Ho-Ip-3VM,W-GOCPA-3VM,W,Ho,Ip,G,O,C,P,A,3,V,M,NULL,NULL
W-Pa-Ip-3MM,W-GOVPA-3MM,W,Pa,Ip,G,O,V,P,A,3,M,M,NULL,NULL
W-Pa-Pf-3OM,W-GHVPA-3OM,W,Pa,Pf,G,H,V,P,A,3,O,M,NULL,NULL
W-Po-Pf-3ME,W-GHVAA-3ME,W,Po,Pf,G,H,V,A,A,3,M,E,NULL,NULL
W-Qa-Ic-3VE,W-VGGAA-3VE-P,W,Qa,Ic,V,G,G,A,A,3,V,E,NULL,P
WA-Pe-Im-2ME,WA-GGGAG-2ME,WA,Pe,Im,G,G,G,A,G,2,M,E,NULL,NULL
WA-Pe-Im-2MM,WA-GGGAG-2MM,WA,Pe,Im,G,G,G,A,G,2,M,M,NULL,NULL
WA-Pe-In,WA-GGGAO,WA,Pe,In,G,G,G,A,O,NULL,NULL,NULL,NULL,NULL
WA-Pe-Ip-1OM,WA-GOGAA-1OM,WA,Pe,Ip,G,O,G,A,A,1,O,M,NULL,NULL
WA-Pe-Ip-2MM,WA-GOGAA-2MM,WA,Pe,Ip,G,O,G,A,A,2,M,M,NULL,NULL
WA-Pe-Ip-3ME,WA-GOGAA-3ME,WA,Pe,Ip,G,O,G,A,A,3,M,E,NULL,NULL
WA-Pe-Pa-MEA,WA-GGGAD-MEA,WA,Pe,Pa,G,G,G,A,D,NULL,M,E,A,NULL
WA-Pe-Pa-MMA,WA-GGGAD-MMA,WA,Pe,Pa,G,G,G,A,D,NULL,M,M,A,NULL
WA-Pe-Pf-1OE,WA-GHGAA-1OE,WA,Pe,Pf,G,H,G,A,A,1,O,E,NULL,NULL
WA-Pe-Pf-1OM,WA-GHGAA-1OM,WA,Pe,Pf,G,H,G,A,A,1,O,M,NULL,NULL
WA-Pe-Pf-3ME,WA-GHGAA-3ME,WA,Pe,Pf,G,H,G,A,A,3,M,E,NULL,NULL
WA-Pe-Pf-3MM,WA-GHGAA-3MM,WA,Pe,Pf,G,H,G,A,A,3,M,M,NULL,NULL
WA-Pe-Pf-3VE,WA-GHGAA-3VE,WA,Pe,Pf,G,H,G,A,A,3,V,E,NULL,NULL
N-MME,N-MME,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,M,M,E,NULL
N-MEE,N-MEE,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,M,E,E,NULL
WA-He-Ip-2MM,WA-GOGOA-2MM,WA,He,Ip,G,O,G,O,A,2,M,M,NULL,NULL
WA-He-Ip-3ME,WA-GOGOA-3ME,WA,He,Ip,G,O,G,O,A,3,M,E,NULL,NULL
WA-He-Po-MEA,WA-GGGOD-MEA,WA,He,Po,G,G,G,O,D,NULL,M,E,A,NULL
WA-He-Po-VEA,WA-GGGOD-VEA,WA,He,Po,G,G,G,O,D,NULL,V,E,A,NULL
WA-Pe-Pa-VEA,WA-GGGAD-VEA,WA,Pe,Pa,G,G,G,A,D,NULL,V,E,A,NULL
WA-Pe-Pf-2ME,WA-GHGAA-2ME,WA,Pe,Pf,G,H,G,A,A,2,M,E,NULL,NULL
WA-Ho-Pf-3ME,WA-GHCPA-3ME,WA,Ho,Pf,G,H,C,P,A,3,M,E,NULL,NULL
WA-Hf-In,WA-GGCAO,WA,Hf,In,G,G,C,A,O,NULL,NULL,NULL,NULL,NULL
WA-Hf-Ip-3MM,WA-GOCAA-3MM,WA,Hf,Ip,G,O,C,A,A,3,M,M,NULL,NULL
WA-Hf-Ip-3VE,WA-GOCAA-3VE,WA,Hf,Ip,G,O,C,A,A,3,V,E,NULL,NULL
WA-Pe-Ip-3MM,WA-GOGAA-3MM,WA,Pe,Ip,G,O,G,A,A,3,M,M,NULL,NULL
W-Pu-Ip-2ME,W-GOVPA-2ME,W,Pu,Ip,G,O,V,P,A,2,M,E,NULL,NULL
W-Po-Pf-3OM,W-GHVAA-3OM,W,Po,Pf,G,H,V,A,A,3,O,M,NULL,NULL
W-Pi-Pf-3VM,W-GHVAA-3VM,W,Pi,Pf,G,H,V,A,A,3,V,M,NULL,NULL
W-Ni-Ip-2VM,W-GOGOA-2VM,W,Ni,Ip,G,O,G,O,A,2,V,M,NULL,NULL
BIJW,BIJW-P,BIJW,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,P
WA-Pe-Pf-2MM,WA-GHGAA-2MM,WA,Pe,Pf,G,H,G,A,A,2,M,M,NULL,NULL
WA-Pi-Pf-3ME,WA-GHGPA-3ME,WA,Pi,Pf,G,H,G,P,A,3,M,E,NULL,NULL
WA-Ha-Po-MMA,WA-GGVOD-MMA,WA,Ha,Po,G,G,V,O,D,NULL,M,M,A,NULL
WA-Hf-Pf-3ME,WA-GHCAA-3ME,WA,Hf,Pf,G,H,C,A,A,3,M,E,NULL,NULL
WA-Hf-Pf-3MM,WA-GHCAA-3MM,WA,Hf,Pf,G,H,C,A,A,3,M,M,NULL,NULL
WA-Ho-Pf-3MM,WA-GHCPA-3MM,WA,Ho,Pf,G,H,C,P,A,3,M,M,NULL,NULL
WA-Ho-Pf-3VE,WA-GHCPA-3VE,WA,Ho,Pf,G,H,C,P,A,3,V,E,NULL,NULL
WA-Pe-Ip-1OE,WA-GOGAA-1OE,WA,Pe,Ip,G,O,G,A,A,1,O,E,NULL,NULL
N-VME,N-VME,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,V,M,E,NULL
WA-Ha-Ip-3MM,WA-GOVOA-3MM,WA,Ha,Ip,G,O,V,O,A,3,M,M,NULL,NULL
WA-Hf-Pa-MEA,WA-GGCAD-MEA,WA,Hf,Pa,G,G,C,A,D,NULL,M,E,A,NULL
WA-Af-In,WA-GGCAO,WA,Af,In,G,G,C,A,O,NULL,NULL,NULL,NULL,NULL
WA-Hf-Im-2MM,WA-GGCAG-2MM,WA,Hf,Im,G,G,C,A,G,2,M,M,NULL,NULL
WA-Hf-Ip-1OM,WA-GOCAA-1OM,WA,Hf,Ip,G,O,C,A,A,1,O,M,NULL,NULL
WA-Hf-Ip-2MM,WA-GOCAA-2MM,WA,Hf,Ip,G,O,C,A,A,2,M,M,NULL,NULL
WA-Hf-Ip-3ME,WA-GOCAA-3ME,WA,Hf,Ip,G,O,C,A,A,3,M,E,NULL,NULL
WA-Pa-Ip-1OE,WA-GOVAA-1OE,WA,Pa,Ip,G,O,V,A,A,1,O,E,NULL,NULL
WA-Pa-Ip-1OM,WA-GOVAA-1OM,WA,Pa,Ip,G,O,V,A,A,1,O,M,NULL,NULL
WA-Pa-Ip-3ME,WA-GOVAA-3ME,WA,Pa,Ip,G,O,V,A,A,3,M,E,NULL,NULL
WA-Hf-Ip-1OE,WA-GOCAA-1OE,WA,Hf,Ip,G,O,C,A,A,1,O,E,NULL,NULL
WA-Hf-Pa-MMA,WA-GGCAD-MMA,WA,Hf,Pa,G,G,C,A,D,NULL,M,M,A,NULL
WA-Hf-Pf-1OM,WA-GHCAA-1OM,WA,Hf,Pf,G,H,C,A,A,1,O,M,NULL,NULL
WA-Hf-Pf-2ME,WA-GHCAA-2ME,WA,Hf,Pf,G,H,C,A,A,2,M,E,NULL,NULL
WA-Pe-Ip-2ME,WA-GOGAA-2ME,WA,Pe,Ip,G,O,G,A,A,2,M,E,NULL,NULL
WA-Pe-Pa-MMC,WA-GGGAD-MMC,WA,Pe,Pa,G,G,G,A,D,NULL,M,M,C,NULL
WA-Pe-Pp-MEA,WA-GGGPD-MEA,WA,Pe,Pp,G,G,G,P,D,NULL,M,E,A,NULL
WA-He-Ip-3MM,WA-GOGOA-3MM,WA,He,Ip,G,O,G,O,A,3,M,M,NULL,NULL
WA-Pi-Pf-3VE,WA-GHGPA-3VE,WA,Pi,Pf,G,H,G,P,A,3,V,E,NULL,NULL
WA-Pa-Ip-2MM,WA-GOVAA-2MM,WA,Pa,Ip,G,O,V,A,A,2,M,M,NULL,NULL
WA-Pa-Ip-3MM,WA-GOVAA-3MM,WA,Pa,Ip,G,O,V,A,A,3,M,M,NULL,NULL
WA-Pa-Pf-3ME,WA-GHVAA-3ME,WA,Pa,Pf,G,H,V,A,A,3,M,E,NULL,NULL
WA-Pe-Pp-VEA,WA-GGGPD-VEA,WA,Pe,Pp,G,G,G,P,D,NULL,V,E,A,NULL
WA-Hf-Pf-2MM,WA-GHCAA-2MM,WA,Hf,Pf,G,H,C,A,A,2,M,M,NULL,NULL
WA-Ea-Ip-3ME,WA-GOVRA-3ME,WA,Ea,Ip,G,O,V,R,A,3,M,E,NULL,NULL
WA-Ea-Ip-3MM,WA-GOVRA-3MM,WA,Ea,Ip,G,O,V,R,A,3,M,M,NULL,NULL
WA-Ea-Pf-3ME,WA-GHVRA-3ME,WA,Ea,Pf,G,H,V,R,A,3,M,E,NULL,NULL
WA-Pa-Pf-3MM,WA-GHVAA-3MM,WA,Pa,Pf,G,H,V,A,A,3,M,M,NULL,NULL
WA-Pa-Pp-VEA,WA-GGVPD-VEA,WA,Pa,Pp,G,G,V,P,D,NULL,V,E,A,NULL
WA-Pe-Ip-3VE,WA-GOGAA-3VE,WA,Pe,Ip,G,O,G,A,A,3,V,E,NULL,NULL
WA-Pe-Pa-VMA,WA-GGGAD-VMA,WA,Pe,Pa,G,G,G,A,D,NULL,V,M,A,NULL
A-VEE,A-VEE,A,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,V,E,E,NULL
A-VME,A-VME,A,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,V,M,E,NULL
WA-He-In,WA-GGGOO,WA,He,In,G,G,G,O,O,NULL,NULL,NULL,NULL,NULL
WA-Pa-In,WA-GGVAO,WA,Pa,In,G,G,V,A,O,NULL,NULL,NULL,NULL,NULL
WA-Hf-Pa-VEA,WA-GGCAD-VEA,WA,Hf,Pa,G,G,C,A,D,NULL,V,E,A,NULL
WA-Hf-Im-2ME,WA-GGCAG-2ME,WA,Hf,Im,G,G,C,A,G,2,M,E,NULL,NULL
WA-Pe-Pa-MEC,WA-GGGAD-MEC,WA,Pe,Pa,G,G,G,A,D,NULL,M,E,C,NULL
WA-Pa-Pf-1OE,WA-GHVAA-1OE,WA,Pa,Pf,G,H,V,A,A,1,O,E,NULL,NULL
WA-Pa-Pp-MEA,WA-GGVPD-MEA,WA,Pa,Pp,G,G,V,P,D,NULL,M,E,A,NULL
WA-Pe-Ip-3VM,WA-GOGAA-3VM,WA,Pe,Ip,G,O,G,A,A,3,V,M,NULL,NULL
WA-Af-Pf-3ME,WA-GHCAA-3ME,WA,Af,Pf,G,H,C,A,A,3,M,E,NULL,NULL
WA-Hf-Ip-2ME,WA-GOCAA-2ME,WA,Hf,Ip,G,O,C,A,A,2,M,E,NULL,NULL
WA-Hf-Pf-1OE,WA-GHCAA-1OE,WA,Hf,Pf,G,H,C,A,A,1,O,E,NULL,NULL
WA-Pe-Im-2VE,WA-GGGAG-2VE,WA,Pe,Im,G,G,G,A,G,2,V,E,NULL,NULL
WA-Pe-Pa-MME,WA-GGGAD-MME,WA,Pe,Pa,G,G,G,A,D,NULL,M,M,E,NULL
WA-He-Ip-3VE,WA-GOGOA-3VE,WA,He,Ip,G,O,G,O,A,3,V,E,NULL,NULL
WA-He-Po-MMA,WA-GGGOD-MMA,WA,He,Po,G,G,G,O,D,NULL,M,M,A,NULL
WA-Pi-Pf-3MM,WA-GHGPA-3MM,WA,Pi,Pf,G,H,G,P,A,3,M,M,NULL,NULL
WA-Pa-Pp-VME,WA-GGVPD-VME,WA,Pa,Pp,G,G,V,P,D,NULL,V,M,E,NULL
WA-Pa-Pa-MEC,WA-GGVAD-MEC,WA,Pa,Pa,G,G,V,A,D,NULL,M,E,C,NULL
WA-Pe-Pp-MMA,WA-GGGPD-MMA,WA,Pe,Pp,G,G,G,P,D,NULL,M,M,A,NULL
WA-Pa-Pa-MEA,WA-GGVAD-MEA,WA,Pa,Pa,G,G,V,A,D,NULL,M,E,A,NULL
WA-Pa-Pf-2ME,WA-GHVAA-2ME,WA,Pa,Pf,G,H,V,A,A,2,M,E,NULL,NULL
WA-Pa-Im-2ME,WA-GGVAG-2ME,WA,Pa,Im,G,G,V,A,G,2,M,E,NULL,NULL
WA-Ha-Po-MEA,WA-GGVOD-MEA,WA,Ha,Po,G,G,V,O,D,NULL,M,E,A,NULL
WA-He-Pf-2ME,WA-GHGOA-2ME,WA,He,Pf,G,H,G,O,A,2,M,E,NULL,NULL
WA-He-Pf-3ME,WA-GHGOA-3ME,WA,He,Pf,G,H,G,O,A,3,M,E,NULL,NULL
WA-He-Pf-3VE,WA-GHGOA-3VE,WA,He,Pf,G,H,G,O,A,3,V,E,NULL,NULL
WA-Ee-Pf-3VE,WA-GHGOA-3VE,WA,Ee,Pf,G,H,G,O,A,3,V,E,NULL,NULL
N-VTE,N-VTE,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,V,T,E,NULL
WA-Hf-Pf-3VE,WA-GHCAA-3VE,WA,Hf,Pf,G,H,C,A,A,3,V,E,NULL,NULL
WA-Ha-Po-VEA,WA-GGVOD-VEA,WA,Ha,Po,G,G,V,O,D,NULL,V,E,A,NULL
A-OEE,A-OEE,A,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,O,E,E,NULL
WA-Ha-Ip-3VE,WA-GOVOA-3VE,WA,Ha,Ip,G,O,V,O,A,3,V,E,NULL,NULL
WA-Pa-Im-2MM,WA-GGVAG-2MM,WA,Pa,Im,G,G,V,A,G,2,M,M,NULL,NULL
WA-Hf-Pp-MEA,WA-GGCPD-MEA,WA,Hf,Pp,G,G,C,P,D,NULL,M,E,A,NULL
N-OEE,N-OEE,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,O,E,E,NULL
WA-Pe-Pa-VEE,WA-GGGAD-VEE,WA,Pe,Pa,G,G,G,A,D,NULL,V,E,E,NULL
WA-Pa-Ip-2ME,WA-GOVAA-2ME,WA,Pa,Ip,G,O,V,A,A,2,M,E,NULL,NULL
WA-Sf-In,WA-GGCAO,WA,Sf,In,G,G,C,A,O,NULL,NULL,NULL,NULL,NULL
WA-Sf-Ip-3ME,WA-GOCAA-3ME,WA,Sf,Ip,G,O,C,A,A,3,M,E,NULL,NULL
WA-Sf-Pa-MEA,WA-GGCAD-MEA,WA,Sf,Pa,G,G,C,A,D,NULL,M,E,A,NULL
WA-Sf-Pf-3ME,WA-GHCAA-3ME,WA,Sf,Pf,G,H,C,A,A,3,M,E,NULL,NULL
WA-Pa-Pp-MMA,WA-GGVPD-MMA,WA,Pa,Pp,G,G,V,P,D,NULL,M,M,A,NULL
WA-Ha-Pf-3ME,WA-GHVOA-3ME,WA,Ha,Pf,G,H,V,O,A,3,M,E,NULL,NULL
WA-He-Pf-3MM,WA-GHGOA-3MM,WA,He,Pf,G,H,G,O,A,3,M,M,NULL,NULL
WA-Ha-Ip-3ME,WA-GOVOA-3ME,WA,Ha,Ip,G,O,V,O,A,3,M,E,NULL,NULL
WA-Af-Im-2ME,WA-GGCAG-2ME,WA,Af,Im,G,G,C,A,G,2,M,E,NULL,NULL
WA-Af-Im-2MM,WA-GGCAG-2MM,WA,Af,Im,G,G,C,A,G,2,M,M,NULL,NULL
WA-Pa-Pa-MMA,WA-GGVAD-MMA,WA,Pa,Pa,G,G,V,A,D,NULL,M,M,A,NULL
WA-Ha-Pf-2ME,WA-GHVOA-2ME,WA,Ha,Pf,G,H,V,O,A,2,M,E,NULL,NULL
WA-Pi-Pf-2ME,WA-GHGPA-2ME,WA,Pi,Pf,G,H,G,P,A,2,M,E,NULL,NULL
WA-Hf-Pa-VEC,WA-GGCAD-VEC,WA,Hf,Pa,G,G,C,A,D,NULL,V,E,C,NULL
WA-Ea-Pf-3MM,WA-GHVRA-3MM,WA,Ea,Pf,G,H,V,R,A,3,M,M,NULL,NULL
WA-Pe-Pp-VMA,WA-GGGPD-VMA,WA,Pe,Pp,G,G,G,P,D,NULL,V,M,A,NULL
WA-Pa-Pa-VEA,WA-GGVAD-VEA,WA,Pa,Pa,G,G,V,A,D,NULL,V,E,A,NULL
WA-Hf-Pa-VMA,WA-GGCAD-VMA,WA,Hf,Pa,G,G,C,A,D,NULL,V,M,A,NULL
WA-Ee-Pf-3MM,WA-GHGOA-3MM,WA,Ee,Pf,G,H,G,O,A,3,M,M,NULL,NULL
A-MME,N-MME,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,M,M,E,NULL
WA-Hs-Ip-3MM,WA-GOCRA-3MM,WA,Hs,Ip,G,O,C,R,A,3,M,M,NULL,NULL
WA-Sf-Pf-3MM,WA-GHCAA-3MM,WA,Sf,Pf,G,H,C,A,A,3,M,M,NULL,NULL
WA-Ha-In,WA-GGVOO,WA,Ha,In,G,G,V,O,O,NULL,NULL,NULL,NULL,NULL
WA-Ha-Pf-3MM,WA-GHVOA-3MM,WA,Ha,Pf,G,H,V,O,A,3,M,M,NULL,NULL
W-Pq-Pf-2VE,W-GHGPA-2VE,W,Pq,Pf,G,H,G,P,A,2,V,E,NULL,NULL
