vid,Woord,vertaalwoord,role,id
40001001,1,0,pc,1
40001001,2,2,pc,2
40001001,3,0,pc,3
40001001,4,0,pc,4
40001001,5,0,pc,5
40001001,6,0,pc,6
40001001,7,0,pc,5
40001001,8,0,pc,7
40001002,1,0,s,7
40001002,2,0,p,6138
40001002,3,7,o,9
40001002,4,0,o,16356
40001002,5,0,s,16356
40001002,6,2,,11
40001002,7,0,p,6138
40001002,8,7,o,9
40001002,9,0,o,12
40001002,10,0,s,12
40001002,11,2,,11
40001002,12,0,p,6138
40001002,13,7,o,9
40001002,14,1,o,13
40001002,15,0,o,14
40001002,16,7,o,15
40001002,17,0,o,16
40001002,18,2,o,17
40001003,1,1,s,18
40001003,2,2,,11
40001003,3,0,p,6138
40001003,4,7,o,9
40001003,5,0,o,19
40001003,6,0,o,14
40001003,7,7,o,9
40001003,8,0,o,20
40001003,9,0,adv,21
40001003,10,7,adv,22
40001003,11,0,adv,23
40001003,12,0,s,19
40001003,13,2,,11
40001003,14,0,p,6138
40001003,15,7,o,9
40001003,16,0,o,24
40001003,17,0,s,24
40001003,18,2,,11
40001003,19,0,p,6138
40001003,20,7,o,9
40001003,21,0,o,25
40001004,1,0,s,25
40001004,2,2,,11
40001004,3,0,p,6138
40001004,4,7,o,9
40001004,5,0,o,26
40001004,6,0,s,26
40001004,7,2,,11
40001004,8,0,p,6138
40001004,9,7,o,9
40001004,10,0,o,27
40001004,11,0,s,27
40001004,12,2,,11
40001004,13,0,p,6138
40001004,14,7,o,9
40001004,15,0,o,28
40001005,1,0,s,28
40001005,2,2,,11
40001005,3,0,p,6138
40001005,4,7,o,9
40001005,5,0,o,29
40001005,6,0,adv,21
40001005,7,7,adv,22
40001005,8,0,adv,30
40001005,9,0,s,29
40001005,10,2,,11
40001005,11,0,p,6138
40001005,12,7,o,9
40001005,13,0,o,31
40001005,14,0,adv,21
40001005,15,7,adv,22
40001005,16,0,adv,32
40001005,17,0,s,31
40001005,18,2,,11
40001005,19,0,p,6138
40001005,20,7,o,9
40001005,21,0,o,33
40001006,1,0,s,33
40001006,2,2,,11
40001006,3,0,p,6138
40001006,4,7,o,9
40001006,5,0,o,6
40001006,6,0,o,9
40001006,7,0,o,34
40001006,8,0,s,6
40001006,9,2,,11
40001006,10,0,p,6138
40001006,11,7,o,9
40001006,12,0,o,35
40001006,13,0,adv,21
40001006,14,0,adv,22
40001006,15,7,adv,36
40001006,16,0,adv,37
40001007,1,0,s,38
40001007,2,2,,11
40001007,3,0,p,6138
40001007,4,7,o,9
40001007,5,0,o,39
40001007,6,0,s,39
40001007,7,2,,11
40001007,8,0,p,6138
40001007,9,7,o,9
40001007,10,0,o,40
40001007,11,0,s,40
40001007,12,2,,11
40001007,13,0,p,6138
40001007,14,7,o,9
40001007,15,0,o,41
40001008,1,0,s,41
40001008,2,2,,11
40001008,3,0,p,6138
40001008,4,7,o,9
40001008,5,0,o,42
40001008,6,0,s,42
40001008,7,2,,11
40001008,8,0,p,6138
40001008,9,7,o,9
40001008,10,0,o,43
40001008,11,0,s,43
40001008,12,2,,11
40001008,13,0,p,6138
40001008,14,7,o,9
40001008,15,0,o,44
40001009,1,0,s,45
40001009,2,2,,11
40001009,3,0,p,6138
40001009,4,7,o,9
40001009,5,0,o,46
40001009,6,0,s,46
40001009,7,2,,11
40001009,8,0,p,6138
40001009,9,7,o,9
40001009,10,0,o,47
40001009,11,0,s,47
40001009,12,2,,11
40001009,13,0,p,6138
40001009,14,7,o,9
40001009,15,0,o,48
40001010,1,0,s,49
40001010,2,2,,11
40001010,3,0,p,6138
40001010,4,7,o,9
40001010,5,0,o,50
40001010,6,0,s,51
40001010,7,2,,11
40001010,8,0,p,6138
40001010,9,7,o,9
40001010,10,0,o,52
40001010,11,0,s,52
40001010,12,2,,11
40001010,13,0,p,6138
40001010,14,7,o,9
40001010,15,0,o,53
40001011,1,0,s,54
40001011,2,2,,11
40001011,3,0,p,6138
40001011,4,7,o,9
40001011,5,0,o,55
40001011,6,0,o,14
40001011,7,7,o,15
40001011,8,0,o,16
40001011,9,2,o,17
40001011,10,0,adv,56
40001011,11,0,adv,22
40001011,12,0,adv,57
40001011,13,0,adv,58
40001012,1,0,adv,59
40001012,2,2,,11
40001012,3,0,adv,60
40001012,4,0,adv,61
40001012,5,0,adv,58
40001012,6,0,s,62
40001012,7,0,p,6138
40001012,8,7,o,9
40001012,9,0,o,63
40001012,10,0,s,63
40001012,11,0,,11
40001012,12,0,p,6138
40001012,13,7,o,9
40001012,14,0,o,64
40001013,1,0,s,64
40001013,2,2,,11
40001013,3,0,p,6138
40001013,4,7,o,9
40001013,5,0,o,65
40001013,6,0,s,65
40001013,7,2,,11
40001013,8,0,p,6138
40001013,9,7,o,9
40001013,10,0,o,66
40001013,11,0,s,66
40001013,12,2,,11
40001013,13,0,p,6138
40001013,14,7,o,9
40001013,15,0,o,67
40001014,1,0,s,67
40001014,2,2,,11
40001014,3,0,p,6138
40001014,4,7,o,9
40001014,5,0,o,68
40001014,6,0,s,68
40001014,7,2,,11
40001014,8,0,p,6138
40001014,9,7,o,9
40001014,10,0,o,69
40001014,11,0,s,69
40001014,12,2,,11
40001014,13,0,p,6138
40001014,14,7,o,9
40001014,15,0,o,70
40001015,1,0,s,70
40001015,2,2,,11
40001015,3,0,p,6138
40001015,4,7,o,9
40001015,5,0,o,71
40001015,6,0,s,71
40001015,7,2,,11
40001015,8,0,p,6138
40001015,9,7,o,9
40001015,10,0,o,72
40001015,11,0,s,72
40001015,12,2,,11
40001015,13,0,p,6138
40001015,14,7,o,9
40001015,15,0,o,12
40001016,1,0,s,12
40001016,2,2,,11
40001016,3,0,p,6138
40001016,4,7,o,9
40001016,5,0,o,73
40001016,6,0,o,9
40001016,7,0,o,74
40001016,8,0,o,75
40001016,9,0,adv,76
40001016,10,0,adv,77
40001016,11,0,p,9429
40001016,12,0,s,79
40001016,13,1,s,80
40001016,14,2,p,81
40001016,15,0,pc,82
40001017,1,1,s,83
40001017,2,0,,84
40001017,3,0,s,85
40001017,4,0,s,86
40001017,5,0,s,87
40001017,6,0,s,7
40001017,7,0,s,88
40001017,8,0,s,6
40001017,9,0,pc,86
40001017,10,0,pc,89
40001017,11,0,,14
40001017,12,0,s,87
40001017,13,0,s,6
40001017,14,0,s,88
40001017,15,0,s,22
40001017,16,0,s,57
40001017,17,0,s,58
40001017,18,0,pc,86
40001017,19,0,pc,89
40001017,20,0,,14
40001017,21,0,s,87
40001017,22,0,s,22
40001017,23,0,s,57
40001017,24,0,s,58
40001017,25,0,s,88
40001017,26,7,s,36
40001017,27,0,s,4
40001017,28,0,pc,86
40001017,29,0,pc,89
40001018,1,7,s,36
40001018,2,2,,11
40001018,3,0,s,90
40001018,4,0,s,4
40001018,5,0,s,91
40001018,6,1,s,92
40001018,7,0,pc,93
40001018,8,0,p,326
40001018,9,0,p,95
40001018,10,7,s,96
40001018,11,0,s,97
40001018,12,2,s,17
40001018,13,0,s,98
40001018,14,7,io,99
40001018,15,0,io,73
40001018,16,0,,100
40001018,17,3,,101
40001018,18,0,p,102
40001018,19,2,s,103
40001018,20,0,p,104
40001018,21,15,adv,105
40001018,22,1,adv,106
40001018,23,1,p,107
40001018,24,5,adv,21
40001018,25,0,adv,108
40001018,26,0,adv,109
40001019,1,0,s,73
40001019,2,2,,11
40001019,3,7,s,80
40001019,4,0,s,110
40001019,5,2,s,111
40001019,6,0,pc,112
40001019,7,0,p,113
40001019,8,0,,14
40001019,9,0,adv,114
40001019,10,0,p,115
40001019,11,2,o,116
40001019,12,0,p,117
40001019,13,1,p,118
40001019,14,0,adv,119
40001019,15,0,p,120
40001019,16,2,o,116
40001020,1,0,o,5203
40001020,2,2,,11
40001020,3,0,s,17
40001020,4,0,p,122
40001020,5,1,p,3310
40001020,6,0,s,124
40001020,7,0,s,125
40001020,8,5,adv,126
40001020,9,0,adv,127
40001020,10,0,p,5894
40001020,11,1,io,129
40001020,12,0,p,130
40001020,13,0,,73
40001020,14,0,,131
40001020,15,0,,6
40001020,16,0,adv,114
40001020,17,0,p,132
40001020,18,2,p,133
40001020,19,0,o,134
40001020,20,7,o2,60
40001020,21,0,o2,135
40001020,22,0,o2,136
40001020,23,3,s,137
40001020,24,0,,138
40001020,25,0,adv,105
40001020,26,2,adv,139
40001020,27,0,p,140
40001020,28,0,pc,21
40001020,29,0,pc,108
40001020,30,0,p,521
40001020,31,0,pc,109
40001021,1,0,p,142
40001021,2,2,,11
40001021,3,0,o,143
40001021,4,0,,14
40001021,5,1,p,144
40001021,6,7,o,145
40001021,7,0,o,146
40001021,8,2,o,17
40001021,9,0,o2,147
40001021,10,0,s,148
40001021,11,0,,138
40001021,12,0,p,18022
40001021,13,7,o,9
40001021,14,0,o,151
40001021,15,2,o,17
40001021,16,0,adv,87
40001021,17,7,adv,152
40001021,18,0,adv,10398
40001021,19,2,adv,154
40001022,1,2,s,155
40001022,2,2,,11
40001022,3,0,s,156
40001022,4,4,p,3136
40001022,5,0,,158
40001022,6,0,p,8372
40001022,7,3,s,137
40001022,8,0,p,161
40001022,9,0,adv,162
40001022,10,0,adv,125
40001022,11,0,adv,163
40001022,12,0,adv,36
40001022,13,0,adv,164
40001022,14,0,p,165
40001023,1,1,p,3310
40001023,2,0,s,91
40001023,3,0,s,166
40001023,4,15,adv,105
40001023,5,1,adv,106
40001023,6,1,p,167
40001023,7,0,,14
40001023,8,0,p,142
40001023,9,0,o,143
40001023,10,0,,14
40001023,11,1,p,169
40001023,12,7,o,145
40001023,13,0,o,146
40001023,14,2,o,17
40001023,15,0,o2,170
40001023,16,1,s,1879
40001023,17,0,p,521
40001023,18,0,p,172
40001023,19,0,pc,173
40001023,20,0,pc,174
40001023,21,7,s,80
40001023,22,0,s,175
40001024,1,3,p,176
40001024,2,2,,11
40001024,3,7,s,80
40001024,4,0,s,73
40001024,5,2,adv,87
40001024,6,6,adv,36
40001024,7,0,adv,177
40001024,8,0,p,178
40001024,9,1,,179
40001024,10,0,p,11287
40001024,11,2,o,129
40001024,12,0,s,80
40001024,13,0,s,124
40001024,14,0,s,125
40001024,15,0,,14
40001024,16,2,p,3268
40001024,17,6,o,60
40001024,18,0,o,135
40001024,19,4,o,182
40001025,1,0,,14
40001025,2,0,adv,183
40001025,3,0,p,184
40001025,4,2,o,116
40001025,5,0,adv,88
40001025,6,13,adv,185
40001025,7,0,p,186
40001025,8,0,o,143
40001025,9,0,,14
40001025,10,1,p,187
40001025,11,7,o,145
40001025,12,0,o,146
40001025,13,2,o,17
40001025,14,0,o2,147
40002001,1,7,s,36
40002001,2,2,,11
40002001,3,0,s,90
40002001,4,0,p,188
40002001,5,0,adv,105
40002001,6,0,adv,189
40002001,7,7,adv,22
40002001,8,0,adv,191
40002001,9,0,adv,105
40002001,10,0,adv,192
40002001,11,0,adv,193
40002001,12,0,adv,194
40002001,13,0,adv,195
40002001,14,1,p,3310
40002001,15,0,s,196
40002001,16,2,adv,87
40002001,17,0,adv,197
40002001,18,0,p,12322
40002001,19,1,adv,199
40002001,20,0,adv,200
40002002,1,0,p,201
40002002,2,1,pc,202
40002002,3,0,p,521
40002002,4,1,s,80
40002002,5,0,p,203
40002002,6,0,s,204
40002002,7,0,s,205
40002002,8,0,s,206
40002002,9,0,p,207
40002002,10,0,,138
40002002,11,2,o,17
40002002,12,7,o,9
40002002,13,0,o,208
40002002,14,0,adv,105
40002002,15,0,adv,209
40002002,16,0,adv,210
40002002,17,0,,14
40002002,18,0,p,211
40002002,19,0,p,212
40002002,20,2,o,129
40002003,1,0,p,213
40002003,2,2,,11
40002003,3,7,s,80
40002003,4,0,s,204
40002003,5,0,s,214
40002003,6,0,p,215
40002003,7,0,,14
40002003,8,4,s,216
40002003,9,0,s,217
40002003,10,0,adv,218
40002003,11,0,adv,17
40002004,1,0,,14
40002004,2,0,p,219
40002004,3,0,o,220
40002004,4,0,o,15
40002004,5,0,o,221
40002004,6,0,o,14
40002004,7,0,o,222
40002004,8,0,o,36
40002004,9,0,o,224
40002004,10,0,p,225
40002004,11,2,adv,226
40002004,12,2,adv,154
40002004,13,1,adv,202
40002004,14,0,s,80
40002004,15,1,s,82
40002004,16,0,p,227
40002005,1,6,s,228
40002005,2,2,,11
40002005,3,0,p,229
40002005,4,2,io,129
40002005,5,0,adv,105
40002005,6,0,adv,189
40002005,7,7,adv,22
40002005,8,0,adv,191
40002005,9,0,adv,93
40002005,10,0,,138
40002005,11,0,p,230
40002005,12,0,adv,163
40002005,13,0,adv,36
40002005,14,0,adv,164
40002006,1,0,,14
40002006,2,0,s,231
40002006,3,0,voc,189
40002006,4,1,voc,232
40002006,5,1,voc,233
40002006,6,0,adv,234
40002006,7,0,pc,235
40002006,8,0,p,560
40002006,9,3,adv,105
40002006,10,0,adv,237
40002006,11,1,adv,238
40002006,12,1,adv,233
40002006,13,0,adv,21
40002006,14,0,adv,136
40002006,15,0,,138
40002006,16,2,p,21053
40002006,17,0,p,240
40002006,18,3,s,241
40002006,19,0,p,20280
40002006,20,7,o,9
40002006,21,0,o,151
40002006,22,0,o,243
40002006,23,7,o,9
40002006,24,0,o,244
40002007,1,0,adv,245
40002007,2,0,s,214
40002007,3,0,adv,119
40002007,4,0,p,246
40002007,5,0,o,15
40002007,6,0,o,247
40002007,7,0,p,345
40002007,8,2,adv,226
40002007,9,2,adv,154
40002007,10,0,o,9
40002007,11,0,o,249
40002007,12,0,o,36
40002007,13,0,p,250
40002007,14,0,o,251
40002008,1,0,,14
40002008,2,0,p,252
40002008,3,2,o,103
40002008,4,3,adv,199
40002008,5,0,adv,189
40002008,6,0,p,253
40002008,7,0,p,254
40002008,8,0,p,255
40002008,9,0,adv,256
40002008,10,2,adv,257
40002008,11,0,adv,258
40002008,12,0,adv,259
40002008,13,0,,260
40002008,14,2,,11
40002008,15,0,p,261
40002008,16,0,p,262
40002008,17,0,io,263
40002008,18,0,,264
40002008,19,1,s,265
40002008,20,0,p,266
40002008,21,0,p,267
40002008,22,2,o,129
40002009,1,1,s,228
40002009,2,2,,11
40002009,3,0,p,268
40002009,4,0,o,36
40002009,5,0,o,195
40002009,6,0,p,7202
40002009,7,0,,14
40002009,8,1,p,3310
40002009,9,0,s,80
40002009,10,0,s,270
40002009,11,7,o,271
40002009,12,0,p,272
40002009,13,0,adv,105
40002009,14,0,adv,209
40002009,15,0,adv,210
40002009,16,0,p,273
40002009,17,2,o,103
40002009,18,0,,88
40002009,19,0,p,266
40002009,20,0,p,274
40002009,21,2,adv,275
40002009,22,0,pc,276
40002009,23,0,p,326
40002009,24,0,s,137
40002009,25,0,s,277
40002010,1,0,p,278
40002010,2,2,,11
40002010,3,0,o,9
40002010,4,0,o,208
40002010,5,0,p,279
40002010,6,0,adv,280
40002010,7,0,adv,281
40002010,8,0,adv,282
40002011,1,0,,14
40002011,2,0,p,283
40002011,3,1,adv,199
40002011,4,0,adv,60
40002011,5,0,adv,285
40002011,6,0,p,272
40002011,7,0,o,145
40002011,8,0,o,287
40002011,9,0,o,288
40002011,10,0,o,75
40002011,11,7,o,96
40002011,12,0,o,97
40002011,13,2,o,289
40002011,14,0,,14
40002011,15,0,p,290
40002011,16,0,p,291
40002011,17,0,o,129
40002011,18,0,,14
40002011,19,0,p,292
40002011,20,7,o,15
40002011,21,0,o,293
40002011,22,2,o,154
40002011,23,0,p,294
40002011,24,2,io,129
40002011,25,1,o,295
40002011,26,0,o,296
40002011,27,0,o,14
40002011,28,0,o,297
40002011,29,0,o,14
40002011,30,0,o,298
40002012,1,0,,14
40002012,2,0,p,299
40002012,3,5,adv,126
40002012,4,0,adv,127
40002012,5,0,adv,114
40002012,6,0,p,300
40002012,7,1,adv,301
40002012,8,0,adv,302
40002012,9,5,adv,303
40002012,10,0,adv,304
40002012,11,0,adv,305
40002012,12,0,p,306
40002012,13,3,adv,199
40002012,14,7,adv,60
40002012,15,0,adv,307
40002012,16,2,adv,154
40002013,1,0,p,308
40002013,2,7,,11
40002013,3,2,s,154
40002013,4,3,pc,199
40002013,5,7,pc,60
40002013,6,0,pc,307
40002013,7,2,pc,154
40002013,8,1,p,3310
40002013,9,0,s,124
40002013,10,0,s,125
40002013,11,0,p,5739
40002013,12,5,adv,126
40002013,13,0,adv,127
40002013,14,7,io,99
40002013,15,0,io,73
40002013,16,0,p,130
40002013,17,2,p,176
40002013,18,0,p,3035
40002013,19,0,o,145
40002013,20,0,o,287
40002013,21,0,o,14
40002013,22,7,o,60
40002013,23,0,o,311
40002013,24,2,o,17
40002013,25,0,,14
40002013,26,0,p,17758
40002013,27,3,adv,199
40002013,28,0,adv,313
40002013,29,0,,14
40002013,30,6,p,314
40002013,31,0,adv,315
40002013,32,0,,88
40002013,33,0,,316
40002013,34,0,p,317
40002013,35,0,io,318
40002013,36,0,p,9286
40002013,37,0,,138
40002013,38,0,s,214
40002013,39,0,p,320
40002013,40,0,o,145
40002013,41,0,o,287
40002013,42,7,adv,258
40002013,43,5,p,321
40002013,44,2,o,322
40002014,1,6,s,80
40002014,2,2,,11
40002014,3,2,p,176
40002014,4,0,p,323
40002014,5,0,o,145
40002014,6,0,o,287
40002014,7,0,o,14
40002014,8,7,o,60
40002014,9,0,o,311
40002014,10,2,o,17
40002014,11,1,adv,324
40002014,12,0,,14
40002014,13,0,p,378
40002014,14,3,adv,199
40002014,15,0,adv,313
40002015,1,0,,14
40002015,2,6,p,326
40002015,3,0,pc,315
40002015,4,0,adv,88
40002015,5,0,adv,22
40002015,6,0,adv,327
40002015,7,0,adv,193
40002015,8,0,,158
40002015,9,0,p,8372
40002015,10,3,s,137
40002015,11,0,p,161
40002015,12,0,adv,162
40002015,13,0,adv,125
40002015,14,0,adv,163
40002015,15,0,adv,36
40002015,16,0,adv,164
40002015,17,0,p,165
40002015,18,0,adv,76
40002015,19,0,adv,328
40002015,20,0,p,329
40002015,21,7,o,9
40002015,22,0,o,143
40002015,23,0,o,243
40002016,1,0,adv,245
40002016,2,0,s,214
40002016,3,0,p,330
40002016,4,0,,331
40002016,5,1,p,332
40002016,6,0,adv,162
40002016,7,0,adv,205
40002016,8,0,adv,333
40002016,9,0,p,334
40002016,10,0,adv,335
40002016,11,0,,14
40002016,12,0,p,336
40002016,13,1,p,11346
40002016,14,0,o,220
40002016,15,0,o,15
40002016,16,0,o,338
40002016,17,1,o,15
40002016,18,0,o,105
40002016,19,0,o,189
40002016,20,0,o,14
40002016,21,0,o,105
40002016,22,0,o,339
40002016,23,7,o,340
40002016,24,0,o,341
40002016,25,2,o,111
40002016,26,0,o,87
40002016,27,0,o,342
40002016,28,0,o,14
40002016,29,0,o,343
40002016,30,0,adv,344
40002016,31,0,adv,9
40002016,32,0,adv,249
40002016,33,7,o,271
40002016,34,0,p,345
40002016,35,2,adv,346
40002016,36,0,adv,205
40002016,37,0,adv,333
40002017,1,0,adv,245
40002017,2,0,p,2498
40002017,3,3,s,137
40002017,4,0,p,161
40002017,5,0,adv,163
40002017,6,0,adv,348
40002017,7,0,adv,194
40002017,8,0,adv,164
40002017,9,0,p,165
40002018,1,2,s,349
40002018,2,0,adv,105
40002018,3,0,adv,350
40002018,4,0,p,351
40002018,5,0,s,352
40002018,6,0,s,14
40002018,7,0,s,353
40002018,8,5,s,354
40002018,9,0,s,355
40002018,10,0,p,356
40002018,11,7,adv,357
40002018,12,0,adv,358
40002018,13,2,adv,111
40002018,14,0,,14
40002018,15,0,adv,183
40002018,16,0,p,359
40002018,17,1,p,360
40002018,18,0,,331
40002018,19,0,adv,183
40002018,20,0,p,361
40002019,1,0,p,362
40002019,2,0,,11
40002019,3,7,s,36
40002019,4,0,s,363
40002019,5,1,p,3310
40002019,6,0,s,124
40002019,7,0,s,125
40002019,8,0,p,5739
40002019,9,5,adv,126
40002019,10,0,adv,127
40002019,11,7,io,99
40002019,12,0,io,73
40002019,13,0,adv,105
40002019,14,0,adv,364
40002020,1,0,p,130
40002020,2,2,p,176
40002020,3,0,p,3035
40002020,4,0,o,145
40002020,5,0,o,287
40002020,6,0,o,14
40002020,7,7,o,60
40002020,8,0,o,311
40002020,9,2,o,17
40002020,10,0,,14
40002020,11,0,p,7998
40002020,12,3,adv,199
40002020,13,1,adv,366
40002020,14,0,adv,244
40002020,15,0,p,367
40002020,16,0,,138
40002020,17,1,s,228
40002020,18,0,p,368
40002020,19,0,o,60
40002020,20,0,o,369
40002020,21,0,o,258
40002020,22,0,o,259
40002021,1,6,s,80
40002021,2,7,,11
40002021,3,2,p,176
40002021,4,0,p,323
40002021,5,0,o,145
40002021,6,0,o,287
40002021,7,0,o,14
40002021,8,7,o,60
40002021,9,0,o,311
40002021,10,2,o,17
40002021,11,0,,14
40002021,12,0,p,2097
40002021,13,1,adv,199
40002021,14,1,adv,366
40002021,15,0,adv,244
40002022,1,0,p,213
40002022,2,0,,11
40002022,3,0,,331
40002022,4,0,s,371
40002022,5,0,p,372
40002022,6,7,adv,22
40002022,7,0,adv,191
40002022,8,0,adv,373
40002022,9,7,adv,36
40002022,10,0,adv,374
40002022,11,2,adv,17
40002022,12,0,adv,363
40002022,13,1,p,375
40002022,14,0,adv,315
40002022,15,2,p,376
40002022,16,0,p,377
40002022,17,2,,11
40002022,18,5,adv,126
40002022,19,0,adv,127
40002022,20,0,p,378
40002022,21,3,adv,199
40002022,22,0,adv,357
40002022,23,0,adv,379
40002022,24,7,adv,22
40002022,25,0,adv,380
40002023,1,0,,14
40002023,2,0,p,266
40002023,3,1,p,381
40002023,4,1,adv,199
40002023,5,0,adv,382
40002023,6,2,p,383
40002023,7,0,pc,384
40002023,8,0,,264
40002023,9,0,p,8372
40002023,10,3,s,137
40002023,11,0,p,161
40002023,12,0,adv,163
40002023,13,0,adv,205
40002023,14,0,adv,385
40002023,15,0,,331
40002023,16,0,pc,386
40002023,17,1,p,387
40003001,1,0,adv,105
40003001,2,2,,11
40003001,3,7,adv,388
40003001,4,0,adv,389
40003001,5,0,adv,390
40003001,6,0,p,391
40003001,7,0,s,392
40003001,8,0,s,80
40003001,9,0,s,393
40003001,10,0,p,394
40003001,11,0,adv,105
40003001,12,0,adv,209
40003001,13,2,adv,395
40003001,14,7,adv,22
40003001,15,0,adv,191
40003002,1,0,p,130
40003002,2,0,p,396
40003002,3,0,p,397
40003002,4,0,,138
40003002,5,0,s,91
40003002,6,0,s,399
40003002,7,0,s,205
40003002,8,0,s,400
40003003,1,0,s,401
40003003,2,0,,138
40003003,3,0,p,521
40003003,4,0,pc,80
40003003,5,0,p,403
40003003,6,0,adv,163
40003003,7,0,adv,404
40003003,8,0,adv,194
40003003,9,0,adv,164
40003003,10,0,p,165
40003003,11,2,s,349
40003003,12,0,p,405
40003003,13,0,adv,105
40003003,14,0,adv,209
40003003,15,2,adv,395
40003003,16,0,p,406
40003003,17,0,o,60
40003003,18,0,o,407
40003003,19,0,o,125
40003003,20,0,o2,408
40003003,21,1,p,409
40003003,22,0,o,410
40003003,23,0,o,411
40003003,24,2,o,17
40003004,1,2,s,148
40003004,2,2,,11
40003004,3,7,s,80
40003004,4,0,s,392
40003004,5,0,p,2302
40003004,6,7,o,145
40003004,7,0,o,413
40003004,8,2,o,17
40003004,9,0,adv,87
40003004,10,0,adv,414
40003004,11,0,adv,415
40003004,12,0,,14
40003004,13,0,o,416
40003004,14,0,o,417
40003004,15,0,adv,418
40003004,16,7,adv,60
40003004,17,0,adv,419
40003004,18,2,adv,17
40003004,19,7,s,91
40003004,20,6,,11
40003004,21,0,s,420
40003004,22,0,p,326
40003004,23,2,s,17
40003004,24,0,pc,421
40003004,25,0,pc,14
40003004,26,0,pc,422
40003004,27,0,pc,423
40003005,1,0,adv,245
40003005,2,0,p,424
40003005,3,1,adv,301
40003005,4,2,adv,425
40003005,5,0,s,217
40003005,6,0,s,14
40003005,7,4,s,216
40003005,8,7,s,91
40003005,9,0,s,426
40003005,10,0,s,14
40003005,11,4,s,216
40003005,12,0,s,91
40003005,13,0,s,427
40003005,14,0,s,36
40003005,15,0,s,428
40003006,1,0,,14
40003006,2,0,p,429
40003006,3,0,adv,105
40003006,4,0,adv,99
40003006,5,0,adv,430
40003006,6,0,adv,431
40003006,7,0,adv,432
40003006,8,2,adv,17
40003006,9,0,p,433
40003006,10,7,o,410
40003006,11,0,o,434
40003006,12,2,o,154
40003007,1,0,p,330
40003007,2,2,,11
40003007,3,0,o,435
40003007,4,0,o,205
40003007,5,0,o,436
40003007,6,0,o,14
40003007,7,0,o,437
40003007,8,0,p,438
40003007,9,9,adv,439
40003007,10,7,adv,145
40003007,11,0,adv,440
40003007,12,2,adv,17
40003007,13,0,p,253
40003007,14,2,io,441
40003007,15,1,voc,442
40003007,16,0,voc,443
40003007,17,2,s,444
40003007,18,0,p,445
40003007,19,0,io,446
40003007,20,0,p,447
40003007,21,0,adv,87
40003007,22,0,adv,22
40003007,23,0,p,448
40003007,24,0,adv,449
40003008,1,20,p,450
40003008,2,0,,84
40003008,3,0,o,451
40003008,4,0,o,452
40003008,5,0,o,22
40003008,6,0,o,453
40003009,1,0,,14
40003009,2,0,adv,114
40003009,3,2,p,454
40003009,4,0,p,455
40003009,5,3,adv,105
40003009,6,0,adv,456
40003009,7,0,o2,457
40003009,8,0,p,458
40003009,9,7,o,9
40003009,10,0,o,7
40003009,11,0,p,459
40003009,12,0,,138
40003009,13,0,io,460
40003009,14,0,,331
40003009,15,0,p,4369
40003009,16,7,s,80
40003009,17,0,s,175
40003009,18,0,adv,21
40003009,19,7,adv,205
40003009,20,0,adv,462
40003009,21,0,adv,463
40003009,22,0,p,464
40003009,23,0,o,358
40003009,24,7,io,99
40003009,25,0,io,7
40003010,1,0,adv,465
40003010,2,0,,11
40003010,3,0,s,91
40003010,4,0,s,466
40003010,5,6,adv,301
40003010,6,0,adv,60
40003010,7,0,adv,467
40003010,8,0,adv,468
40003010,9,0,adv,469
40003010,10,0,p,470
40003010,11,0,s,471
40003010,12,0,,84
40003010,13,0,s,472
40003010,14,4,adv,114
40003010,15,14,p,473
40003010,16,0,o,451
40003010,17,0,o,474
40003010,18,0,p,475
40003010,19,0,,14
40003010,20,0,adv,199
40003010,21,0,adv,476
40003010,22,0,p,477
40003011,1,0,s,478
40003011,2,0,,479
40003011,3,0,,138
40003011,4,0,o,480
40003011,5,0,p,481
40003011,6,0,adv,105
40003011,7,0,adv,482
40003011,8,2,adv,199
40003011,9,0,adv,483
40003011,10,1,s,80
40003011,11,1,,11
40003011,12,0,adv,484
40003011,13,0,adv,243
40003011,14,0,p,485
40003011,15,0,pc,486
40003011,16,0,adv,243
40003011,17,0,p,521
40003011,18,1,adv,487
40003011,19,0,adv,183
40003011,20,0,p,488
40003011,21,0,pc,489
40003011,22,7,o,357
40003011,23,0,o,490
40003011,24,0,p,491
40003011,25,2,s,148
40003011,26,0,o,480
40003011,27,0,p,492
40003011,28,0,adv,105
40003011,29,0,adv,493
40003011,30,0,adv,494
40003011,31,0,adv,14
40003011,32,0,adv,495
40003012,1,1,s,487
40003012,2,7,s,137
40003012,3,0,s,496
40003012,4,0,pc,105
40003012,5,7,pc,209
40003012,6,0,pc,498
40003012,7,2,pc,17
40003012,8,0,,14
40003012,9,0,p,499
40003012,10,7,o,60
40003012,11,0,o,500
40003012,12,2,o,17
40003012,13,0,,14
40003012,14,0,p,501
40003012,15,7,o,9
40003012,16,0,o,502
40003012,17,2,o,17
40003012,18,1,adv,199
40003012,19,7,adv,60
40003012,20,0,adv,503
40003012,21,2,adv,17
40003012,22,0,o,145
40003012,23,1,,11
40003012,24,0,o,504
40003012,25,0,p,505
40003012,26,0,adv,506
40003012,27,0,adv,507
40003013,1,0,adv,245
40003013,2,1,p,391
40003013,3,7,s,80
40003013,4,0,s,79
40003013,5,0,adv,87
40003013,6,7,adv,22
40003013,7,0,adv,380
40003013,8,12,adv,439
