parsT,pars,vv,aspect,tijd,toestand,vorm,modus,persoon,naamval,getal,geslacht,extra
P-NSM,P-NSM,P,,,,,,,N,S,M,
P-NSN,P-NSN,P,,,,,,,N,S,N,
PREP,PREP,PREP,,,,,,,,,,
PRT,PRT,PRT,,,,,,,,,,
PRT-I,PRT-I,PRT,,,,,,,,,,I
PRT-N,PRT-N,PRT,,,,,,,,,,N
Q-APF,Q-APF,Q,,,,,,,A,P,F,
Q-APM,Q-APM,Q,,,,,,,A,P,M,
Q-APN,Q-APN,Q,,,,,,,A,P,N,
Q-ASF,Q-ASF,Q,,,,,,,A,S,F,
Q-ASN,Q-ASN,Q,,,,,,,A,S,N,
Q-DSN,Q-DSN,Q,,,,,,,D,S,N,
Q-GPN,Q-GPN,Q,,,,,,,G,P,N,
Q-NPF,Q-NPF,Q,,,,,,,N,P,F,
Q-NPM,Q-NPM,Q,,,,,,,N,P,M,
Q-NSM,Q-NSM,Q,,,,,,,N,S,M,
Q-NSN,Q-NSN,Q,,,,,,,N,S,N,
R-APF,R-APF,R,,,,,,,A,P,F,
R-APM,R-APM,R,,,,,,,A,P,M,
R-APN,R-APN,R,,,,,,,A,P,N,
R-ASF,R-ASF,R,,,,,,,A,S,F,
R-ASM,R-ASM,R,,,,,,,A,S,M,
R-ASN,R-ASN,R,,,,,,,A,S,N,
R-DPF,R-DPF,R,,,,,,,D,P,F,
R-DPM,R-DPM,R,,,,,,,D,P,M,
R-DPN,R-DPN,R,,,,,,,D,P,N,
R-DSF,R-DSF,R,,,,,,,D,S,F,
R-DSM,R-DSM,R,,,,,,,D,S,M,
R-DSN,R-DSN,R,,,,,,,D,S,N,
R-GPF,R-GPF,R,,,,,,,G,P,F,
R-GPM,R-GPM,R,,,,,,,G,P,M,
R-GPN,R-GPN,R,,,,,,,G,P,N,
R-GSF,R-GSF,R,,,,,,,G,S,F,
R-GSM,R-GSM,R,,,,,,,G,S,M,
R-GSN,R-GSN,R,,,,,,,G,S,N,
R-GSN-ATT,R-GSN-ATT,R,,,,,,,G,S,N,ATT
R-NPF,R-NPF,R,,,,,,,N,P,F,
R-NPM,R-NPM,R,,,,,,,N,P,M,
R-NPN,R-NPN,R,,,,,,,N,P,N,
R-NSF,R-NSF,R,,,,,,,N,S,F,
R-NSM,R-NSM,R,,,,,,,N,S,M,
R-NSN,R-NSN,R,,,,,,,N,S,N,
S-1APF,S-1APF,S,,,,,,1,A,P,F,
S-1APM,S-1APM,S,,,,,,1,A,P,M,
S-1APN,S-1APN,S,,,,,,1,A,P,N,
S-1ASF,S-1ASF,S,,,,,,1,A,S,F,
S-1ASM,S-1ASM,S,,,,,,1,A,S,M,
S-1ASN,S-1ASN,S,,,,,,1,A,S,N,
S-1DPF,S-1DPF,S,,,,,,1,D,P,F,
S-1DPM,S-1DPM,S,,,,,,1,D,P,M,
S-1DPN,S-1DPN,S,,,,,,1,D,P,N,
S-1DSF,S-1DSF,S,,,,,,1,D,S,F,
S-1DSM,S-1DSM,S,,,,,,1,D,S,M,
S-1DSN,S-1DSN,S,,,,,,1,D,S,N,
S-1GPF,S-1GPF,S,,,,,,1,G,P,F,
S-1GPN,S-1GPN,S,,,,,,1,G,P,N,
S-1GSF,S-1GSF,S,,,,,,1,G,S,F,
S-1NPF,S-1NPF,S,,,,,,1,N,P,F,
S-1NPM,S-1NPM,S,,,,,,1,N,P,M,
S-1NPN,S-1NPN,S,,,,,,1,N,P,N,
S-1NSF,S-1NSF,S,,,,,,1,N,S,F,
S-1NSM,S-1NSM,S,,,,,,1,N,S,M,
S-1NSN,S-1NSN,S,,,,,,1,N,S,N,
S-2APF,S-2APF,S,,,,,,2,A,P,F,
S-2APM,S-2APM,S,,,,,,2,A,P,M,
S-2APN,S-2APN,S,,,,,,2,A,P,N,
S-2ASF,S-2ASF,S,,,,,,2,A,S,F,
S-2ASN,S-2ASN,S,,,,,,2,A,S,N,
S-2DPF,S-2DPF,S,,,,,,2,D,P,F,
S-2DPM,S-2DPM,S,,,,,,2,D,P,M,
S-2DSF,S-2DSF,S,,,,,,2,D,S,F,
S-2DSM,S-2DSM,S,,,,,,2,D,S,M,
S-2GPF,S-2GPF,S,,,,,,2,G,P,F,
S-2GSF,S-2GSF,S,,,,,,2,G,S,F,
S-2NPF,S-2NPF,S,,,,,,2,N,P,F,
S-2NPM,S-2NPM,S,,,,,,2,N,P,M,
S-2NPN,S-2NPN,S,,,,,,2,N,P,N,
S-2NSM,S-2NSM,S,,,,,,2,N,S,M,
S-2NSN,S-2NSN,S,,,,,,2,N,S,N,
T-APF,T-APF,T,,,,,,,A,P,F,
T-APM,T-APM,T,,,,,,,A,P,M,
T-APN,T-APN,T,,,,,,,A,P,N,
T-ASF,T-ASF,T,,,,,,,A,S,F,
T-ASM,T-ASM,T,,,,,,,A,S,M,
T-ASN,T-ASN,T,,,,,,,A,S,N,
T-DPF,T-DPF,T,,,,,,,D,P,F,
T-DPM,T-DPM,T,,,,,,,D,P,M,
T-DPN,T-DPN,T,,,,,,,D,P,N,
T-DSF,T-DSF,T,,,,,,,D,S,F,
T-DSM,T-DSM,T,,,,,,,D,S,M,
T-DSN,T-DSN,T,,,,,,,D,S,N,
T-GPF,T-GPF,T,,,,,,,G,P,F,
T-GPM,T-GPM,T,,,,,,,G,P,M,
T-GPN,T-GPN,T,,,,,,,G,P,N,
T-GSF,T-GSF,T,,,,,,,G,S,F,
T-GSM,T-GSM,T,,,,,,,G,S,M,
T-GSN,T-GSN,T,,,,,,,G,S,N,
T-NPF,T-NPF,T,,,,,,,N,P,F,
T-NPM,T-NPM,T,,,,,,,N,P,M,
T-NPN,T-NPN,T,,,,,,,N,P,N,
T-NSF,T-NSF,T,,,,,,,N,S,F,
T-NSM,T-NSM,T,,,,,,,N,S,M,
T-NSN,T-NSN,T,,,,,,,N,S,N,
V-2AAI-1P,V-NNAI-1P,V,2A,N,N,A,I,1,,P,,
V-2AAI-1S,V-NNAI-1S,V,2A,N,N,A,I,1,,S,,
V-2AAI-2P,V-NNAI-2P,V,2A,N,N,A,I,2,,P,,
V-2AAI-2S,V-NNAI-2S,V,2A,N,N,A,I,2,,S,,
V-2AAI-3P,V-NNAI-3P,V,2A,N,N,A,I,3,,P,,
V-2AAI-3P-ATT,V-NNAI-3P-ATT,V,2A,N,N,A,I,3,,P,,ATT
V-2AAI-3S,V-NNAI-3S,V,2A,N,N,A,I,3,,S,,
V-2AAM-2P,V-NNAM-2P,V,2A,N,N,A,M,2,,P,,
V-2AAM-2S,V-NNAM-2S,V,2A,N,N,A,M,2,,S,,
V-2AAM-3P,V-NNAM-3P,V,2A,N,N,A,M,3,,P,,
V-2AAM-3S,V-NNAM-3S,V,2A,N,N,A,M,3,,S,,
V-2AAN,V-NNAN,V,2A,N,N,A,N,,,,,
V-2AAO-3P,,V,2A,,,A,O,3,,P,,
V-2AAO-3S,,V,2A,,,A,O,3,,S,,
V-2AAP-APF,V-NNAP-APF,V,2A,N,N,A,P,,A,P,F,
V-2AAP-APM,V-NNAP-APM,V,2A,N,N,A,P,,A,P,M,
V-2AAP-ASF,V-NNAP-ASF,V,2A,N,N,A,P,,A,S,F,
V-2AAP-ASM,V-NNAP-ASM,V,2A,N,N,A,P,,A,S,M,
V-2AAP-ASN,V-NNAP-ASN,V,2A,N,N,A,P,,A,S,N,
V-2AAP-DPF,V-NNAP-DPF,V,2A,N,N,A,P,,D,P,F,
V-2AAP-DPM,V-NNAP-DPM,V,2A,N,N,A,P,,D,P,M,
V-2AAP-DSF,V-NNAP-DSF,V,2A,N,N,A,P,,D,S,F,
V-2AAP-DSM,V-NNAP-DSM,V,2A,N,N,A,P,,D,S,M,
V-2AAP-GPM,V-NNAP-GPM,V,2A,N,N,A,P,,G,P,M,
V-2AAP-GSF,V-NNAP-GSF,V,2A,N,N,A,P,,G,S,F,
V-2AAP-GSM,V-NNAP-GSM,V,2A,N,N,A,P,,G,S,M,
V-2AAP-GSN,V-NNAP-GSN,V,2A,N,N,A,P,,G,S,N,
V-2AAP-NPF,V-NNAP-NPF,V,2A,N,N,A,P,,N,P,F,
V-2AAP-NPM,V-NNAP-NPM,V,2A,N,N,A,P,,N,P,M,
V-2AAP-NPN,V-NNAP-NPN,V,2A,N,N,A,P,,N,P,N,
V-2AAP-NSF,V-NNAP-NSF,V,2A,N,N,A,P,,N,S,F,
V-2AAP-NSM,V-NNAP-NSM,V,2A,N,N,A,P,,N,S,M,
V-2AAP-NSN,V-NNAP-NSN,V,2A,N,N,A,P,,N,S,N,
V-2AAS-1P,V-NNAS-1P,V,2A,N,N,A,S,1,,P,,
V-2AAS-1S,V-NNAS-1S,V,2A,N,N,A,S,1,,S,,
V-2AAS-2P,V-NNAS-2P,V,2A,N,N,A,S,2,,P,,
V-2AAS-2S,V-NNAS-2S,V,2A,N,N,A,S,2,,S,,
V-2AAS-3P,V-NNAS-3P,V,2A,N,N,A,S,3,,P,,
V-2AAS-3S,V-NNAS-3S,V,2A,N,N,A,S,3,,S,,
V-2ADI-1S,V-NNMI-1S,V,2A,N,N,M,I,1,,S,,
V-2ADI-2P,V-NNMI-2P,V,2A,N,N,M,I,2,,P,,
V-2ADI-2S,V-NNMI-2S,V,2A,N,N,M,I,2,,S,,
V-2ADI-3P,V-NNMI-3P,V,2A,N,N,M,I,3,,P,,
V-2ADI-3S,V-NNMI-3S,V,2A,N,N,M,I,3,,S,,
V-2ADM-2S,V-NNMM-2S,V,2A,N,N,M,M,2,,S,,
V-2ADM-3S,V-NNMM-3S,V,2A,N,N,M,M,3,,S,,
V-2ADN,V-NNMN,V,2A,N,N,M,N,,,,,
V-2ADO-1S,V-NNMO-1S,V,2A,N,N,M,O,1,,S,,
V-2ADO-3S,V-NNMO-3S,V,2A,N,N,M,O,3,,S,,
V-2ADP-APM,V-NNMP-APM,V,2A,N,N,M,P,,A,P,M,
V-2ADP-APN,V-NNMP-APN,V,2A,N,N,M,P,,A,P,N,
V-2ADP-ASF,V-NNMP-ASF,V,2A,N,N,M,P,,A,S,F,
V-2ADP-ASM,V-NNMP-ASM,V,2A,N,N,M,P,,A,S,M,
V-2ADP-ASN,V-NNMP-ASN,V,2A,N,N,M,P,,A,S,N,
V-2ADP-DPM,V-NNMP-DPM,V,2A,N,N,M,P,,D,P,M,
V-2ADP-DPN,V-NNMP-DPN,V,2A,N,N,M,P,,D,P,N,
V-2ADP-GPF,V-NNMP-GPF,V,2A,N,N,M,P,,G,P,F,
V-2ADP-GPM,V-NNMP-GPM,V,2A,N,N,M,P,,G,P,M,
V-2ADP-GSF,V-NNMP-GSF,V,2A,N,N,M,P,,G,S,F,
V-2ADP-GSM,V-NNMP-GSM,V,2A,N,N,M,P,,G,S,M,
V-2ADP-GSN,V-NNMP-GSN,V,2A,N,N,M,P,,G,S,N,
V-2ADP-NPF,V-NNMP-NPF,V,2A,N,N,M,P,,N,P,F,
V-2ADP-NPM,V-NNMP-NPM,V,2A,N,N,M,P,,N,P,M,
V-2ADP-NSM,V-NNMP-NSM,V,2A,N,N,M,P,,N,S,M,
V-2ADS-1P,V-NNMS-1P,V,2A,N,N,M,S,1,,P,,
V-2ADS-1S,V-NNMS-1S,V,2A,N,N,M,S,1,,S,,
V-2ADS-2P,V-NNMS-2P,V,2A,N,N,M,S,2,,P,,
V-2ADS-3P,V-NNMS-3P,V,2A,N,N,M,S,3,,P,,
V-2ADS-3S,V-NNMS-3S,V,2A,N,N,M,S,3,,S,,
V-2AMI-1P,V-NNMI-1P,V,2A,N,N,M,I,1,,P,,
V-2AMI-1S,V-NNMI-1S,V,2A,N,N,M,I,1,,S,,
V-2AMI-2P,V-NNMI-2P,V,2A,N,N,M,I,2,,P,,
V-2AMI-2S,V-NNMI-2S,V,2A,N,N,M,I,2,,S,,
V-2AMI-3P,V-NNMI-3P,V,2A,N,N,M,I,3,,P,,
V-2AMI-3S,V-NNMI-3S,V,2A,N,N,M,I,3,,S,,
V-2AMM-2P,V-NNMM-2P,V,2A,N,N,M,M,2,,P,,
V-2AMM-2S,V-NNMM-2S,V,2A,N,N,M,M,2,,S,,
V-2AMN,V-NNMN,V,2A,N,N,M,N,,,,,
V-2AMP-GSM,V-NNMP-GSM,V,2A,N,N,M,P,,G,S,M,
V-2AMP-NPM,V-NNMP-NPM,V,2A,N,N,M,P,,N,P,M,
V-2AMP-NSM,V-NNMP-NSM,V,2A,N,N,M,P,,N,S,M,
V-2AMS-1P,V-NNMS-1P,V,2A,N,N,M,S,1,,P,,
V-2AMS-1S,V-NNMS-1S,V,2A,N,N,M,S,1,,S,,
V-2AMS-2S,V-NNMS-2S,V,2A,N,N,M,S,2,,S,,
V-2AMS-3P,V-NNMS-3P,V,2A,N,N,M,S,3,,P,,
V-2AMS-3S,V-NNMS-3S,V,2A,N,N,M,S,3,,S,,
V-2AOI-1P,V-NNPI-1P,V,2A,N,N,P,I,1,,P,,
V-2AOI-1S,V-NNPI-1S,V,2A,N,N,P,I,1,,S,,
V-2AOI-2P,V-NNPI-2P,V,2A,N,N,P,I,2,,P,,
V-2AOI-3P,V-NNPI-3P,V,2A,N,N,P,I,3,,P,,
V-2AOI-3S,V-NNPI-3S,V,2A,N,N,P,I,3,,S,,
V-2AOM-2P,V-NNPM-2P,V,2A,N,N,P,M,2,,P,,
V-2AON,V-NNPN,V,2A,N,N,P,N,,,,,
V-2AOS-2P,V-NNPS-2P,V,2A,N,N,P,S,2,,P,,
V-2API-1P,V-NNPI-1P,V,2A,N,N,P,I,1,,P,,
V-2API-1S,V-NNPI-1S,V,2A,N,N,P,I,1,,S,,
V-2API-2P,V-NNPI-2P,V,2A,N,N,P,I,2,,P,,
V-2API-2S,V-NNPI-2S,V,2A,N,N,P,I,2,,S,,
V-2API-3P,V-NNPI-3P,V,2A,N,N,P,I,3,,P,,
V-2API-3S,V-NNPI-3S,V,2A,N,N,P,I,3,,S,,
V-2APM-2P,V-NNPM-2P,V,2A,N,N,P,M,2,,P,,
V-2APM-2S,V-NNPM-2S,V,2A,N,N,P,M,2,,S,,
V-2APM-3S,V-NNPM-3S,V,2A,N,N,P,M,3,,S,,
V-2APN,V-NNPN,V,2A,N,N,P,N,,,,,
V-2APP-ASM,V-NNPP-ASM,V,2A,N,N,P,P,,A,S,M,
V-2APP-DSN,V-NNPP-DSN,V,2A,N,N,P,P,,D,S,N,
V-2APP-GPM,V-NNPP-GPM,V,2A,N,N,P,P,,G,P,M,
V-2APP-NPF,V-NNPP-NPF,V,2A,N,N,P,P,,N,P,F,
V-2APP-NPM,V-NNPP-NPM,V,2A,N,N,P,P,,N,P,M,
V-2APP-NSF,V-NNPP-NSF,V,2A,N,N,P,P,,N,S,F,
V-2APP-NSM,V-NNPP-NSM,V,2A,N,N,P,P,,N,S,M,
V-2APP-NSN,V-NNPP-NSN,V,2A,N,N,P,P,,N,S,N,
V-2APS-1P,V-NNPS-1P,V,2A,N,N,P,S,1,,P,,
V-2APS-2P,V-NNPS-2P,V,2A,N,N,P,S,2,,P,,
V-2APS-2S,V-NNPS-2S,V,2A,N,N,P,S,2,,S,,
V-2APS-3P,V-NNPS-3P,V,2A,N,N,P,S,3,,P,,
V-2APS-3S,V-NNPS-3S,V,2A,N,N,P,S,3,,S,,
V-2FAI-3S,V-FIAI-3S,V,2F,F,I,A,I,3,,S,,
V-2FMI-3S,V-FIMI-3S,V,2F,F,I,M,I,3,,S,,
V-2FOI-1S,V-FIPI-1S,V,2F,F,I,P,I,1,,S,,
V-2FOI-3P,V-FIPI-3P,V,2F,F,I,P,I,3,,P,,
V-2FOI-3S,V-FIPI-3S,V,2F,F,I,P,I,3,,S,,
V-2FPI-1P,V-FIPI-1P,V,2F,F,I,P,I,1,,P,,
V-2FPI-2P,V-FIPI-2P,V,2F,F,I,P,I,2,,P,,
V-2FPI-2S,V-FIPI-2S,V,2F,F,I,P,I,2,,S,,
V-2FPI-3P,V-FIPI-3P,V,2F,F,I,P,I,3,,P,,
V-2FPI-3S,V-FIPI-3S,V,2F,F,I,P,I,3,,S,,
V-2LAI-3S,V-PCAI-3S,V,2L,P,C,A,I,3,,S,,
V-2RAI-1P,V-RCAI-1P,V,2R,R,C,A,I,1,,P,,
V-2RAI-1P-ATT,V-RCAI-1P-ATT,V,2R,R,C,A,I,1,,P,,ATT
V-2RAI-1S,V-RCAI-1S,V,2R,R,C,A,I,1,,S,,
V-2RAI-2P,V-RCAI-2P,V,2R,R,C,A,I,2,,P,,
V-2RAI-2P-ATT,V-RCAI-2P-ATT,V,2R,R,C,A,I,2,,P,,ATT
V-2RAI-2S,V-RCAI-2S,V,2R,R,C,A,I,2,,S,,
V-2RAI-3P,V-RCAI-3P,V,2R,R,C,A,I,3,,P,,
V-2RAI-3P-ATT,V-RCAI-3P-ATT,V,2R,R,C,A,I,3,,P,,ATT
V-2RAI-3S,V-RCAI-3S,V,2R,R,C,A,I,3,,S,,
V-2RAI-3S-ATT,V-RCAI-3S-ATT,V,2R,R,C,A,I,3,,S,,ATT
V-2RAN,V-NCAN,V,2R,N,C,A,N,,,,,
V-2RAP-APM,V-NCAP-APM,V,2R,N,C,A,P,,A,P,M,
V-2RAP-APM-ATT,V-NCAP-APM-ATT,V,2R,N,C,A,P,,A,P,M,ATT
V-2RAP-APN,V-NCAP-APN,V,2R,N,C,A,P,,A,P,N,
V-2RAP-ASF,V-NCAP-ASF,V,2R,N,C,A,P,,A,S,F,
V-2RAP-ASM,V-NCAP-ASM,V,2R,N,C,A,P,,A,S,M,
V-2RAP-ASN,V-NCAP-ASN,V,2R,N,C,A,P,,A,S,N,
V-2RAP-DSN,V-NCAP-DSN,V,2R,N,C,A,P,,D,S,N,
V-2RAP-NPM,V-NCAP-NPM,V,2R,N,C,A,P,,N,P,M,
V-2RAP-NSF,V-NCAP-NSF,V,2R,N,C,A,P,,N,S,F,
V-2RAP-NSM,V-NCAP-NSM,V,2R,N,C,A,P,,N,S,M,
V-2RAP-NSN,V-NCAP-NSN,V,2R,N,C,A,P,,N,S,N,
V-AAI-1P,V-NNAI-1P,V,A,N,N,A,I,1,,P,,
V-AAI-1S,V-NNAI-1S,V,A,N,N,A,I,1,,S,,
V-AAI-2P,V-NNAI-2P,V,A,N,N,A,I,2,,P,,
V-AAI-2S,V-NNAI-2S,V,A,N,N,A,I,2,,S,,
V-AAI-3P,V-NNAI-3P,V,A,N,N,A,I,3,,P,,
V-AAI-3S,V-NNAI-3S,V,A,N,N,A,I,3,,S,,
V-AAN,V-NNAN,V,A,N,N,A,N,,,,,
V-AAO-3P,,V,A,,,A,O,3,,P,,
V-AAO-3S,,V,A,,,A,O,3,,S,,
V-AAP-APM,V-NNAP-APM,V,A,N,N,A,P,,A,P,M,
V-AAP-APN,V-NNAP-APN,V,A,N,N,A,P,,A,P,N,
V-AAP-ASF,V-NNAP-ASF,V,A,N,N,A,P,,A,S,F,
V-AAP-ASM,V-NNAP-ASM,V,A,N,N,A,P,,A,S,M,
V-AAP-ASN,V-NNAP-ASN,V,A,N,N,A,P,,A,S,N,
V-AAP-DPM,V-NNAP-DPM,V,A,N,N,A,P,,D,P,M,
V-AAP-DSM,V-NNAP-DSM,V,A,N,N,A,P,,D,S,M,
V-AAP-GPM,V-NNAP-GPM,V,A,N,N,A,P,,G,P,M,
V-AAP-GSM,V-NNAP-GSM,V,A,N,N,A,P,,G,S,M,
V-AAP-NPF,V-NNAP-NPF,V,A,N,N,A,P,,N,P,F,
V-AAP-NPM,V-NNAP-NPM,V,A,N,N,A,P,,N,P,M,
V-AAP-NSF,V-NNAP-NSF,V,A,N,N,A,P,,N,S,F,
V-AAP-NSM,V-NNAP-NSM,V,A,N,N,A,P,,N,S,M,
V-AAP-NSN,V-NNAP-NSN,V,A,N,N,A,P,,N,S,N,
V-AAS-1P,V-NNAS-1P,V,A,N,N,A,S,1,,P,,
V-AAS-1S,V-NNAS-1S,V,A,N,N,A,S,1,,S,,
V-AAS-2P,V-NNAS-2P,V,A,N,N,A,S,2,,P,,
V-AAS-2S,V-NNAS-2S,V,A,N,N,A,S,2,,S,,
