vidvan,vidtot,textid,referentie
66019011,66019011,106,778
2013013,2013013,106,778
40025001,40025001,106,795
5025005,5025006,106,799
21009005,21009005,106,800
19006005,19006005,106,800
46015016,46015019,106,800
2003006,2003006,106,800
44023008,44023008,106,801
2020003,2020003,106,802
5006004,5006004,106,802
5006005,5006005,106,802
51001015,51001015,106,803
43001001,43001001,106,803
40005003,40005011,106,810
44012002,44012002,106,815
43021018,43021018,106,815
14024020,14024022,106,816
38001001,38001001,106,816
66006002,66006002,106,824
66006003,66006004,106,825
66006009,66006009,106,828
27009027,27009027,106,829
40013014,40013014,106,829
66012001,66012016,106,829
66013015,66013017,106,830
49001012,49001012,106,832
52001010,52001010,106,832
52004017,52004017,106,832
46015052,46015054,106,832
50003021,50003021,106,832
40028008,40028008,106,833
52004017,52004017,106,837
52005004,52005004,106,837
44009036,44009041,106,837
44020009,44020010,106,837
47005010,47005010,106,839
46003015,46003015,106,839
66020010,66020010,106,851
66020011,66020011,106,849
66020011,66020011,106,849
46003013,46003015,106,847
47005010,47005010,106,847
49002008,49002008,106,847
45008001,45008001,106,847
49001003,49001003,106,844
19045014,19045014,106,844
66019009,66019009,106,844
66019007,66019007,106,844
44001016,44001019,106,861
44004034,44004034,106,861
42023011,42023011,106,868
48003013,48003013,106,872
47005021,47005021,106,872
25001013,25001013,106,872
23053010,23053010,106,872
40016016,40016016,106,875
43019039,43019039,106,876
41008031,41008031,106,878
41009031,41009031,106,878
41010034,41010034,106,878
40020012,40020012,106,882
3023009,3023014,106,882
3023015,3023015,106,882
46016002,46016002,106,882
44020001,44020001,106,882
41016002,41016002,106,882
42024001,42024001,106,882
43020001,43020019,106,882
66011017,66011017,106,883
44011003,44011003,106,883
44008016,44008016,106,883
50002030,50002030,107,894
27009027,27009027,107,894
41011008,41011008,107,894
27009024,27009024,107,894
1008012,1008012,107,889
12001010,12001012,107,887
46011014,46011014,107,887
41009013,41009013,107,887
4006002,4006007,107,887
40012005,40012005,107,913
5023025,5023025,107,912
42009054,42009054,107,910
42001017,42001017,107,910
23053006,23053006,107,909
45005021,45005021,107,922
40010002,40010002,107,919
41016017,41016017,107,918
41016015,41016015,107,918
41016014,41016014,107,918
44001026,44001026,107,918
47005019,47005019,107,932
54004001,54004001,107,932
40013039,40013039,107,939
66017015,66017015,107,943
47005020,47005020,107,954
2012007,2012007,107,953
66013008,66013008,107,949
40012043,40012045,107,949
39004002,39004002,107,972
43006013,43006013,107,969
3020021,3020021,107,965
3018016,3018016,107,965
42022035,42022035,107,960
45015016,45015016,107,958
45015008,45015008,107,958
42004016,42004016,107,957
45015008,45015008,107,982
45015027,45015027,107,982
49002019,49002019,107,982
44016018,44016018,107,1007
48002002,48002002,107,1007
12002011,12002011,107,1002
66011003,66011012,107,1002
39004005,39004006,107,1002
51002009,51002009,107,1001
43021018,43021023,107,1000
44012001,44012001,107,1000
40026012,40026012,107,1025
6006026,6006026,107,1025
40020029,40020029,107,1025
42018035,42018035,107,1025
43021020,43021020,107,1023
44012002,44012002,107,1023
44003006,44003006,107,1022
44004034,44004034,107,1021
44004032,44004032,107,1021
44002044,44002044,107,1021
44002045,44002045,107,1017
1002024,1002024,107,1014
46007015,46007015,107,1013
40005032,40005032,107,1013
1001027,1001027,107,1013
42002022,42002022,107,1028
42002042,42002042,107,1028
43007002,43007002,107,1028
43007010,43007010,107,1028
43010022,43010022,107,1028
43005002,43005002,107,1028
41014015,41014015,107,1028
66019011,66019011,107,1029
38009009,38009009,107,1029
2013013,2013013,107,1029
43002013,43002013,107,1032
46005010,46005010,107,1032
51003005,51003005,107,1032
49001007,49001007,107,1035
23005007,23005007,107,1039
40017024,40017027,107,1042
2030011,2030016,107,1042
46015012,46015028,107,1043
51001015,51001015,107,1046
54001017,54001017,107,1046
43001018,43001018,107,1046
1032030,1032030,107,1046
23006005,23006005,107,1046
43012041,43012041,107,1046
47004004,47004004,107,1046
43001014,43001014,107,1046
40001018,40001018,107,1046
43002020,43002020,107,1051
60002005,60002005,107,1051
49003009,49003009,107,1052
44001007,44001007,107,1052
66006002,66006002,107,1052
66011003,66011003,107,1053
