id,Heb,translit,Hebz,stamgegevens,parent,vergelijk,taal
1384,עול,<sup>ʕ</sup>ul,עול,ZOGEN,NULL,NULL,H
1385,עול,<sup>ʕ</sup>ul,עול,ONRECHTVAARDIG,NULL,NULL,H
1386,על,<sup>ʕ</sup>-l,על,JUK,NULL,NULL,H
1387,עלל,<sup>ʕ</sup>álal,עלל,VOORWENDSEL,NULL,NULL,H
1388,תעלה,t<sup>h</sup>-<sup>ʕ</sup>-l-h,תעלה,GEUL,NULL,NULL,H
1389,פרא,párá<sup>ʔ</sup>,פרא,WILDE+EZEL,NULL,NULL,H
1390,אחד,<sup>ʔ</sup>á<sup>c</sup>had,אחד,ÉÉN,NULL,NULL,H
1391,חדד,<sup>c</sup>hádad,חדד,SCHERP,NULL,NULL,H
1392,חדה,<sup>c</sup>hádáh,חדה,VREUGDE,NULL,NULL,H
1393,חוד,<sup>c</sup>hud,חוד,RAADSEL,NULL,NULL,H
1394,בצל,b-<sup>t</sup>s-l,בצל,UI,NULL,NULL,H
1395,כדר,k-d-r,כדר,AFSTORMEN,NULL,NULL,H
1396,שׁהם,s<sup>h</sup>-h-m,שהמ,ONYX,NULL,NULL,H
1397,ריר,rájar,ריר,SIJPELEN,NULL,NULL,H
1398,פתח,pá-t<sup>h</sup>a<sup>c</sup>h,פתח,OPENEN,NULL,NULL,H
1399,פתוח,p-t<sup>h</sup>-w-<sup>c</sup>h,פתוח,GRAVERING,NULL,NULL,H
1400,פטר,pátar,פטר,LOSBREKEN,NULL,NULL,H
1401,פצה,pá<sup>t</sup>sáh,פצה,OPENSPERREN,NULL,NULL,H
1402,לחץ,lá<sup>c</sup>ha<sup>t</sup>s,לחצ,DRUKKEN,NULL,NULL,H
1403,שׂדר,sׂ-d-r,שדר,GELEDEREN,NULL,NULL,H
1404,עדה,<sup>ʕ</sup>ádáh,עדה,TOOIEN,NULL,NULL,H
1405,עדד,<sup>ʕ</sup>-d-d,עדד,UITTELLEN,NULL,NULL,H
1406,תאו,t<sup>h</sup>-<sup>ʔ</sup>-w,תאו,ANTILOPE,NULL,NULL,H
1407,שׁוט,s<sup>h</sup>áwat,שוט,HEEN+EN+WEER,NULL,NULL,H
1408,שׂוט,sáwat,שוט,AFDWALEN,NULL,NULL,H
1409,šnḏ.t,šnḏ.t,šnḏ.t,ACACIA,NULL,NULL,NULL
