id,Heb,translit,Hebz,stamgegevens,parent,vergelijk,taal
1629,גלע,gála<sup>ʕ</sup>,גלע,LOSBARSTEN (strijd),NULL,NULL,H
1630,שׂמל,sׂ-m-l,שמל,OMVATTEN (inhouden),NULL,NULL,H
1631,מטר,mátar,מטר,REGENEN,NULL,NULL,H
1632,פדה,pádáh,פדה,VRIJKOPEN,NULL,NULL,H
1633,פרע,pára<sup>ʕ</sup>,פרע,VRIJ+LATEN,NULL,NULL,H
1634,יצת,já<sup>t</sup>sa-t<sup>h</sup>,יצת,AFBRANDEN,NULL,NULL,H
1635,גער,gá<sup>ʕ</sup>ar,גער,BERISPEN,NULL,NULL,H
1636,קבל,qával,קבל,ONTVANGEN,NULL,NULL,H
1637,מכר,mác<sup>h</sup>ar,מכר,VERKOPEN,NULL,NULL,H
1638,גאל,gá<sup>ʔ</sup>al,גאל,LOSKOPEN,NULL,NULL,H
1639,מכך,mác<sup>h</sup>ac<sup>h</sup>,מככ,VERLAGEN,NULL,NULL,H
1640,קנה,qánáh,קנה,RIET,NULL,NULL,H
1641,געשׁ,gá<sup>ʕ</sup>as<sup>h</sup>,געש,DEINEN,NULL,NULL,H
1642,צרף,<sup>t</sup>sáraf,צרפ,SMELTEN (metaal),NULL,NULL,H
1643,עשׁת,<sup>ʕ</sup>ás<sup>h</sup>a-t<sup>h</sup>,עשת,GEDENKEN,NULL,NULL,H
1644,עשׁת,<sup>ʕ</sup>ás<sup>h</sup>a-t<sup>h</sup>,עשת,LIJVIG,NULL,NULL,H
1645,עגן,<sup>ʕ</sup>ágan,עגנ,OPSLUITEN,NULL,NULL,H
1646,חוס,<sup>c</sup>hus,חוס,TRANEN,NULL,NULL,H
1647,חסה,<sup>c</sup>hásáh,חסה,TOEVLUCHT,NULL,NULL,H
1648,מאן,má<sup>ʔ</sup>an,מאנ,WEIGEREN,NULL,NULL,H
1649,שׂרה,sárah,שרה,WORSTELEN,NULL,NULL,H
1650,נשׂר,n-sׂ-r,נשר,DOORZAGEN,NULL,NULL,H
1651,שֹורה,sֹ-w-r-h,שֹורה,RIJ (graan),NULL,NULL,H
1652,שׂר,sׂ-r,שר,OVERSTE,NULL,NULL,H
1653,שׁור,s<sup>h</sup>áwar,שור,GEBOGEN+BEKIJKEN,NULL,NULL,H
1654,שׁרה,s<sup>h</sup>árah,שרה,WEGGOOIEN,NULL,NULL,H
1655,שׁרר,s<sup>h</sup>-r-r,שרר,VAST,NULL,NULL,H
1656,יחשׂ,já<sup>c</sup>has,יחש,GESLACHTSREGISTER,NULL,NULL,H
1657,ליץ,lája<sup>t</sup>s,ליצ,SPOTTEN,NULL,NULL,H
1658,מאס,má<sup>ʔ</sup>as,מאס,VERSMADEN,NULL,NULL,H
1659,שׂמח,sáma<sup>c</sup>h,שמח,VERHEUGEN,NULL,NULL,H
1660,שׁמט,s<sup>h</sup>ámat,שמט,LOSLATEN,NULL,NULL,H
1661,רחץ,rá<sup>c</sup>ha<sup>t</sup>s,רחצ,VERTROUWEN (Ar),NULL,NULL,H
1662,שׁאר,s<sup>h</sup>á<sup>ʔ</sup>ár,שאר,OVERBLIJVEN,NULL,NULL,H
1663,שׂאר,sׂ-<sup>ʔ</sup>-r,שאר,ZUURDEEG,NULL,NULL,H
1664,שׁאר,s<sup>h</sup>á<sup>ʔ</sup>ár,שאר,VLESELIJK,NULL,NULL,H
1665,שׁר,s<sup>h</sup>-r,שר,NAVEL,NULL,NULL,H
1666,זכר,zác<sup>h</sup>ar,זכר,HERINNEREN,NULL,NULL,H
1667,זכר,zác<sup>h</sup>ar,זכר,MANNELIJK,NULL,NULL,H
1668,מושׁ,mus<sup>h</sup>,מוש,WIJKEN,NULL,NULL,H
1669,משׁה,más<sup>h</sup>ah,משה,TREKKEN+UIT,NULL,NULL,H
1670,שׁלם,s<sup>h</sup>álam,שלמ,HEEL,NULL,NULL,H
1671,שׁונם,s<sup>h</sup>-w-n-m,שונמ,SUNEM,NULL,NULL,H
1672,ישׁן,jás<sup>h</sup>an,ישנ,SLAPEN,NULL,NULL,H
1673,ישׁן,jás<sup>h</sup>an,ישנ,OUD,NULL,NULL,H
1674,שׁן,s<sup>h</sup>-l,שנ,TAND,NULL,NULL,H
1675,שׁנא,s<sup>h</sup>ána<sup>ʔ</sup>,שנא,VERANDEREN,NULL,NULL,H
1676,שׁנה,s<sup>h</sup>ánah,שנה,JAAR,NULL,NULL,H
1677,šinı̄tu,šinı̄tu,šinı̄tu,GEVERFD,NULL,NULL,NULL
1679,שׁנן,s<sup>h</sup>ánan,שננ,SLIJPEN,NULL,NULL,H
1680,ʾbw,ʾbw,ʾbw,OLIFANT,NULL,NULL,NULL
1681,זול,zul,זול,WAARDELOOS+ACHTEN,NULL,NULL,H
1682,זלל,zálal,זלל,BUNGELEN,NULL,NULL,H
1683,נזל,názal,נזל,IN+STROOM+VLOEIEN,NULL,NULL,H
1684,חטם,<sup>c</sup>hátam,חטמ,MUILBANDEN,NULL,NULL,H
1685,חרף,<sup>c</sup>háraf,חרפ,VROEG,NULL,NULL,H
1686,חרף,<sup>c</sup>háraf,חרפ,SCHERP+SPREKEN,NULL,NULL,H
1687,חרף,<sup>c</sup>háraf,חרפ,VERWARRING,NULL,NULL,H
1688,חרף,<sup>c</sup>háraf,חרפ,VERLOOFD,NULL,NULL,H
1689,נוא,nu<sup>ʔ</sup>,נוא,AFKEREN,NULL,NULL,H
1690,זהם,záham,זהמ,WEERZIN+GEVEN,NULL,NULL,H
1691,דרא,d-r-<sup>ʔ</sup>,דרא,AFGRIJZEN,NULL,NULL,H
1692,גמל,gámal,גמל,VOLBRENGEN,NULL,NULL,H
1693,גמל,gámal,גמל,KAMEEL,NULL,NULL,H
1694,פִתגם,pִ-t<sup>h</sup>-g-m,פִתגמ,DECREET,NULL,NULL,H
1695,נצל,ná<sup>t</sup>sal,נצל,BERGEN (redden),NULL,NULL,H
1696,אמץ,<sup>ʔ</sup>áma<sup>t</sup>s,אמצ,HARD (sterk),NULL,NULL,H
1697,אמץ,<sup>ʔ</sup>áma<sup>t</sup>s,אמצ,WIT+GEVLEKT,NULL,NULL,H
1698,יען,j-<sup>ʕ</sup>-l,יענ,OMDAT,NULL,NULL,H
1699,ענה,<sup>ʕ</sup>ánáh,ענה,ANTWOORDEN,NULL,NULL,H
1869,שׁיר,s<sup>h</sup>ájar,שיר,ZINGEN,NULL,NULL,H
1701,ענה,<sup>ʕ</sup>ánáh,ענה,NEDERIG,NULL,NULL,H
1702,ענה,<sup>ʕ</sup>ánáh,ענה,TOBBEN,NULL,NULL,H
1703,עצר,<sup>ʕ</sup>á<sup>t</sup>sar,עצר,BEPERKEN,NULL,NULL,H
1704,שׁוב,s<sup>h</sup>áwav,שוב,TERUGKEREN,NULL,NULL,H
1705,שׁבב,s<sup>h</sup>-b-b,שבב,OMHOUWEN,NULL,NULL,H
1706,שׁבב,s<sup>h</sup>-b-b,שבב,OPFLAKKEREN,NULL,NULL,H
1707,apatam,apatam,apatam,ZEKER (Pr.),NULL,NULL,NULL
1708,מרד,márad,מרד,REBELLEREN,NULL,NULL,H
1709,נבז,n-b-z,נבז,BELONING,NULL,NULL,H
1710,עלע,<sup>ʕ</sup>ála<sup>ʕ</sup>,עלע,RIB,NULL,NULL,H
1711,עשׂר,<sup>ʕ</sup>ásar,עשר,TIEN,NULL,NULL,H
1712,עשׁר,<sup>ʕ</sup>ás<sup>h</sup>ar,עשר,RIJK,NULL,NULL,H
1714,רכב,rác<sup>h</sup>av,רכב,BESTIJGEN,NULL,NULL,H
1715,כרכב,k-r-k-b,כרכב,RICHEL,NULL,NULL,H
1716,שׁפה,s<sup>h</sup>áfah,שפה,BLOOTLEGGEN,NULL,NULL,H
1717,שׂפה,sׂ-p-h,שפה,LIP,NULL,NULL,H
1718,שׁפה,s<sup>h</sup>áfah,שפה,KAAS,NULL,NULL,H
1719,שׁפיפן,s<sup>h</sup>-p-j-p-l,שפיפנ,HOORNADDER,NULL,NULL,H
1720,נקק,n-q-q,נקק,KLOOF,NULL,NULL,H
1721,ימן,jáman,ימנ,RECHTS,NULL,NULL,H
1722,כבס,kávas,כבס,VOLLEN,NULL,NULL,H
1723,פרם,páram,פרמ,KLEREN+SCHEUREN,NULL,NULL,H
1724,קום,qum,קומ,OPSTAAN,NULL,NULL,H
1725,נקם,náqam,נקמ,WREKEN,NULL,NULL,H
1726,מרזח,m-r-z-<sup>c</sup>h,מרזח,CULTFEEST,NULL,NULL,H
1727,פצם,pá<sup>t</sup>sam,פצמ,OPENSPLIJTEN,NULL,NULL,H
1728,שׁאג,s<sup>h</sup>á<sup>ʔ</sup>ág,שאג,BRULLEN,NULL,NULL,H
1729,צלה,<sup>t</sup>sáláh,צלה,BRADEN,NULL,NULL,H
1730,צליל,<sup>t</sup>s-l-j-l,צליל,RONDE+KOEK,NULL,NULL,H
1731,צלחת,<sup>t</sup>s-l-<sup>c</sup>h-t<sup>h</sup>,צלחת,SCHOTEL,NULL,NULL,H
1732,שׁסה,s<sup>h</sup>ásah,שסה,PLUNDEREN,NULL,NULL,H
1733,עכבר,<sup>ʕ</sup>-k-b-r,עכבר,MUIS,NULL,NULL,H
1734,דלח,dála<sup>c</sup>h,דלח,TROEBEL+MAKEN,NULL,NULL,H
1735,גיל,gájal,גיל,JUBELEN,NULL,NULL,H
1736,אגל,<sup>ʔ</sup>-g-l,אגל,SAMENVLOEIEN,NULL,NULL,H
1737,גלה,gáláh,גלה,UITKOMEN,NULL,NULL,H
1738,גלל,gálal,גלל,ROLLEN,NULL,NULL,H
1739,נגל,n-g-l,נגל,MAAIEN,NULL,NULL,H
1740,קפד,qáfad,קפד,OPROLLEN,NULL,NULL,H
1741,דוץ,du<sup>t</sup>s,דוצ,UITSPRINGEN,NULL,NULL,H
1742,לשׁכה,l-s<sup>h</sup>-k-h,לשכה,KAMER,NULL,NULL,H
1743,שׁרשׁ,s<sup>h</sup>áras<sup>h</sup>,שרש,WORTEL,NULL,NULL,H
1744,רקב,ráqav,רקב,VERROTTEN,NULL,NULL,H
1745,עגל,<sup>ʕ</sup>-g-l,עגל,CIRKEL,NULL,NULL,H
1746,עגל,<sup>ʕ</sup>-g-l,עגל,KALF,NULL,NULL,H
1747,נוע,nu<sup>ʕ</sup>,נוע,SCHOMMELEN,NULL,NULL,H
1748,טור,t-w-r,טור,RIJ,NULL,NULL,H
1749,natbāku,natbāku,natbāku,LAAG,NULL,NULL,NULL
1750,נטר,nátar,נטר,WROKKEN,NULL,NULL,H
1751,סמך,sámac<sup>h</sup>,סמכ,DEKEN,NULL,NULL,H
1752,שׁחת,s<sup>h</sup>á<sup>c</sup>ha-t<sup>h</sup>,שחת,VERDERVEN,NULL,NULL,H
1753,משׁל,más<sup>h</sup>al,משל,HEERSEN,NULL,NULL,H
1754,משׁל,más<sup>h</sup>al,משל,VERGELIJKEN,NULL,NULL,H
1755,רוץ,ru<sup>t</sup>s,רוצ,RENNEN,NULL,NULL,H
1756,מרץ,mára<sup>t</sup>s,מרצ,PIJNLIJK,NULL,NULL,H
1757,משׁק,m-s<sup>h</sup>-q,משק,ERFGENAAM,NULL,NULL,H
1758,שׁקק,s<sup>h</sup>áqaq,שקק,AANSTORMEN,NULL,NULL,H
1759,שׁוק,s<sup>h</sup>áwaq,שוק,BEEN,NULL,NULL,H
1760,שׁוק,s<sup>h</sup>áwaq,שוק,STRAAT,NULL,NULL,H
1761,שׁוק,s<sup>h</sup>áwaq,שוק,BESPRINGEN,NULL,NULL,H
1762,אוץ,<sup>ʔ</sup>u<sup>t</sup>s,אוצ,HAAST+HEBBEN,NULL,NULL,H
1763,גיח,gája<sup>c</sup>h,גיח,UITBREKEN,NULL,NULL,H
1764,נגח,nága<sup>c</sup>h,נגח,STOTEN (hoornen),NULL,NULL,H
1765,שׂק,sׂ-q,שק,ZAKKENGOED,NULL,NULL,H
1766,זבח,záva<sup>c</sup>h,זבח,SLACHTEN,NULL,NULL,H
1767,חסן,<sup>c</sup>hásan,חסנ,HOUDEN,NULL,NULL,H
1768,כרכם,k-r-k-m,כרכמ,SAFFRAAN,NULL,NULL,H
1769,שׂממית,sׂ-m-m-j-t<sup>h</sup>,שממית,HAGEDIS,NULL,NULL,H
1770,מלח,mála<sup>c</sup>h,מלח,ZOUT,NULL,NULL,H
1771,מלח,mála<sup>c</sup>h,מלח,UITEENSCHEUREN,NULL,NULL,H
1772,זה,z-h,זה,DIT,NULL,NULL,H
1773,הוא,h-w-<sup>ʔ</sup>,הוא,DEZE,NULL,NULL,H
1774,חמט,<sup>c</sup>h-m-t,חמט,SKINK,NULL,NULL,H
1775,ספיר,s-p-j-r,ספיר,LAZUURSTEEN,NULL,NULL,H
1776,bnd,bnd,bnd,WIKKELEN,NULL,NULL,NULL
1777,שׂבע,sáva<sup>ʕ</sup>,שבע,VERZADIGD,NULL,NULL,H
1778,שׁבע,s<sup>h</sup>áva<sup>ʕ</sup>,שבע,ZEVEN,NULL,NULL,H
1779,שׁבע,s<sup>h</sup>áva<sup>ʕ</sup>,שבע,BEZWEREN,NULL,NULL,H
1780,ḫšatra,ḫšatra,ḫšatra,SATRAP,NULL,NULL,NULL
1781,ישׁע,jás<sup>h</sup>a<sup>ʕ</sup>,ישע,REDDEN,NULL,NULL,H
1782,שׁוע,s<sup>h</sup>áwa<sup>ʕ</sup>,שוע,HULP+SCHREEUWEN,NULL,NULL,H
1783,שׁוע,s<sup>h</sup>áwa<sup>ʕ</sup>,שוע,NOBEL,NULL,NULL,H
1784,מלץ,mála<sup>t</sup>s,מלצ,PRETTIG,NULL,NULL,H
1785,אמר,<sup>ʔ</sup>ámar,אמר,ZEGGEN,NULL,NULL,H
1786,אמר,<sup>ʔ</sup>ámar,אמר,ROEMEN,NULL,NULL,H
1787,תער,t<sup>h</sup>-<sup>ʕ</sup>-r,תער,(SCHEER)MES,NULL,NULL,H
1788,נפץ,náfa<sup>t</sup>s,נפצ,KAPOTSLAAN,NULL,NULL,H
1789,קלס,qálas,קלס,SCHIMPEN,NULL,NULL,H
1790,קפוז,q-p-w-z,קפוז,PIJLSLANG,NULL,NULL,H
1791,כוה,kuh,כוה,SCHROEIEN,NULL,NULL,H
1792,עקרב,<sup>ʕ</sup>-q-r-b,עקרב,SCHORPIOEN,NULL,NULL,H
1793,מרק,máraq,מרק,SCHUREN,NULL,NULL,H
1794,מרק,máraq,מרק,BOUILLON,NULL,NULL,H
1795,רזם,rázam,רזמ,KNIPPEREN,NULL,NULL,H
1796,גרד,gárad,גרד,KRABBEN,NULL,NULL,H
1797,צוע,<sup>t</sup>s-w-<sup>ʕ</sup>,צוע,BEELDHOUWEN,NULL,NULL,H
1798,צפר,<sup>t</sup>sáfar,צפר,WEGKEREN,NULL,NULL,H
1799,צפר,<sup>t</sup>sáfar,צפר,TJILPEN,NULL,NULL,H
1800,צפר,<sup>t</sup>sáfar,צפר,NAGEL,NULL,NULL,H
1801,חמשׁ,<sup>c</sup>hámas<sup>h</sup>,חמש,SIKKEL,NULL,NULL,H
1802,ים,j-m,ימ,ZEE,NULL,NULL,H
1803,סאה,s-<sup>ʔ</sup>-h,סאה,SEAH,NULL,NULL,H
1804,סאסא,sá<sup>ʔ</sup>asa<sup>ʔ</sup>,סאסא,UITEENJAGEN,NULL,NULL,H
1805,חתם,<sup>c</sup>há-t<sup>h</sup>am,חתמ,VERZEGELEN,NULL,NULL,H
1807,rāz,rāz,rāz,MYSTERIE,NULL,NULL,NULL
1808,שׁפן,s<sup>h</sup>-p-l,שפנ,KONIJN,NULL,NULL,H
1809,עבט,<sup>ʕ</sup>ávat,עבט,DOOR+ELKAAR+LOPEN,NULL,NULL,H
1810,עבוט,<sup>ʕ</sup>-b-w-t,עבוט,PAND,NULL,NULL,H
1811,φορειον,p<sup>h</sup>oreion,φορειον,DRAAGKOETS,NULL,NULL,NULL
1812,בקשׁ,báqas<sup>h</sup>,בקש,ZOEKEN,NULL,NULL,H
1813,שׁפר,s<sup>h</sup>áfar,שפר,BEKOORLIJK,NULL,NULL,H
1814,שׁפר,s<sup>h</sup>áfar,שפר,RAMSHOORN,NULL,NULL,H
1815,שׁפריר,s<sup>h</sup>-p-r-j-r,שפריר,STAATSIETAPIJT,NULL,NULL,H
1816,חתך,<sup>c</sup>há-t<sup>h</sup>ac<sup>h</sup>,חתכ,TOEDELEN,NULL,NULL,H
1817,לכד,lác<sup>h</sup>ad,לכד,VANGEN,NULL,NULL,H
1818,maḫı̄ru,maḫı̄ru,maḫı̄ru,PRIJS,NULL,NULL,NULL
1819,שׁלח,s<sup>h</sup>ála<sup>c</sup>h,שלח,ZENDEN,NULL,NULL,H
1820,בדל,bádal,בדל,AFSCHEIDEN,NULL,NULL,H
1821,pātı̄ra,pātı̄ra,pātı̄ra,TIN,NULL,NULL,NULL
1822,נחשׁ,ná<sup>c</sup>has<sup>h</sup>,נחש,SLANG,NULL,NULL,H
1823,נחשׁ,ná<sup>c</sup>has<sup>h</sup>,נחש,BRONS,NULL,NULL,H
1824,נחשׁ,ná<sup>c</sup>has<sup>h</sup>,נחש,VOORTEKEN,NULL,NULL,H
1825,naḫšātu,naḫšātu,naḫšātu,MENSTRUATIE,NULL,NULL,NULL
1826,פלח,pála<sup>c</sup>h,פלח,BEWERKEN (land),NULL,NULL,H
1827,שׁית,s<sup>h</sup>ája-t<sup>h</sup>,שית,ZETTEN,NULL,NULL,H
1828,שׁית,s<sup>h</sup>ája-t<sup>h</sup>,שית,DISTEL,NULL,NULL,H
1829,שׁתה,s<sup>h</sup>á-t<sup>h</sup>ah,שתה,WEEFSEL,NULL,NULL,H
1830,גזע,g-z-<sup>ʕ</sup>,גזע,OMZAGEN,NULL,NULL,H
1831,תפר,táfar,תפר,AAN+ELKAAR+NAAIEN,NULL,NULL,H
1832,צל,<sup>t</sup>s-l,צל,SCHADUW,NULL,NULL,H
1833,צלל,<sup>t</sup>sálal,צלל,WEGZINKEN,NULL,NULL,H
1834,נער,ná<sup>ʕ</sup>ar,נער,AFSCHUDDEN,NULL,NULL,H
1835,גלח,gála<sup>c</sup>h,גלח,SCHEREN,NULL,NULL,H
1836,אתן,<sup>ʔ</sup>-t<sup>h</sup>-l,אתנ,EZELIN,NULL,NULL,H
1837,גוז,guz,גוז,DOORGAAN,NULL,NULL,H
1838,nidḫāna,nidḫāna,nidḫāna,SCHEDE,NULL,NULL,NULL
1839,בץ,b-<sup>t</sup>s,בצ,FIJN+LINNEN,NULL,NULL,H
1840,בוץ,b-w-<sup>t</sup>s,בוצ,WIT+ZIJN,NULL,NULL,H
1841,בץ,b-<sup>t</sup>s,בצ,DRASSIG,NULL,NULL,H
1842,כבשׂ,k-b-sׂ,כבש,JONG+SCHAAP,NULL,NULL,H
1843,כפר,káfar,כפר,DEKKEN,NULL,NULL,H
1844,כפור,k-p-w-r,כפור,BEKKEN (later woord),NULL,NULL,H
1845,כפר,káfar,כפר,DORP,NULL,NULL,H
1846,יפע,jáfa<sup>ʕ</sup>,יפע,GLANZEN,NULL,NULL,H
1847,סדין,s-d-j-l,סדינ,WIKKEL,NULL,NULL,H
1848,רעל,rá<sup>ʕ</sup>al,רעל,ZWAAIEN,NULL,NULL,H
1849,גדשׁ,g-d-s<sup>h</sup>,גדש,SCHOOF,NULL,NULL,H
1850,קצר,qá<sup>t</sup>sar,קצר,KORT,NULL,NULL,H
1851,קצר,qá<sup>t</sup>sar,קצר,OOGSTEN,NULL,NULL,H
1852,טחה,tá<sup>c</sup>háh,טחה,AFSTAND+SCHIETEN,NULL,NULL,H
1853,כתף,k-t<sup>h</sup>-p,כתפ,SCHOUDER,NULL,NULL,H
1854,רוע,ru<sup>ʕ</sup>,רוע,LUID+ROEPEN,NULL,NULL,H
1855,יעה,já<sup>ʕ</sup>áh,יעה,WEGVAGEN,NULL,NULL,H
1856,צרח,<sup>t</sup>sára<sup>c</sup>h,צרח,KRIJSEN,NULL,NULL,H
1857,צריח,<sup>t</sup>s-r-j-<sup>c</sup>h,צריח,KELDER,NULL,NULL,H
1858,צמק,<sup>t</sup>sámaq,צמק,VERSCHROMPELEN,NULL,NULL,H
1859,צפד,<sup>t</sup>sáfad,צפד,VERSCHROMPELEN (huid),NULL,NULL,H
1860,פלץ,pála<sup>t</sup>s,פלצ,HUIVEREN,NULL,NULL,H
1861,קפץ,qáfa<sup>t</sup>s,קפצ,SAMENTREKKEN,NULL,NULL,H
1862,צדד,<sup>t</sup>s-d-d,צדד,ZIJWAARTS,NULL,NULL,H
1863,קיר,q-j-r,קיר,WAND,NULL,NULL,H
1864,אנח,<sup>ʔ</sup>ána<sup>c</sup>h,אנח,ZUCHTEN,NULL,NULL,H
1865,רשׁם,rás<sup>h</sup>am,רשמ,OPTEKENEN,NULL,NULL,H
1866,מפתן,m-p-t<sup>h</sup>-l,מפתנ,DORPEL,NULL,NULL,H
1867,סכל,sác<sup>h</sup>al,סכל,ONVERSTANDIG,NULL,NULL,H
1868,זעף,zá<sup>ʕ</sup>af,זעפ,RAZEN,NULL,NULL,H
1870,חרך,<sup>c</sup>hárac<sup>h</sup>,חרכ,SCHROEIEN (braden),NULL,NULL,H
1871,טבע,táva<sup>ʕ</sup>,טבע,ZINKEN,NULL,NULL,H
1872,טבע,táva<sup>ʕ</sup>,טבע,ZEGELRING,NULL,NULL,H
1873,רשׁף,r-s<sup>h</sup>-p,רשפ,VUURVLAM,NULL,NULL,H
1874,ישׁב,jás<sup>h</sup>av,ישב,ZITTEN,NULL,NULL,H
1875,סיון,s-j-w-l,סיונ,SIWAN,NULL,NULL,H
1876,אוב,<sup>ʔ</sup>-w-b,אוב,LEREN+ZAK,NULL,NULL,H
1877,נאד,n-<sup>ʔ</sup>-d,נאד,LEREN+FLES,NULL,NULL,H
1878,פסח,pása<sup>c</sup>h,פסח,VOORBIJ+HOPPEN,NULL,NULL,H
1879,ספק,sáfaq,ספק,HANDEN+SLAAN,NULL,NULL,H
1880,שׁחט,s<sup>h</sup>á<sup>c</sup>hat,שחט,AFSLACHTEN,NULL,NULL,H
1881,פטשׁ,p-t-s<sup>h</sup>,פטש,SMEEDHAMER,NULL,NULL,H
1882,dašnu,dašnu,dašnu,VETACHTIG (vruchtbaar),NULL,NULL,NULL
1883,חנמל,<sup>c</sup>h-n-m-l,חנמל,IJZEL,NULL,NULL,H
1884,פלח,pála<sup>c</sup>h,פלח,PLAKKEN+SNIJDEN,NULL,NULL,H
1885,קלע,qála<sup>ʕ</sup>,קלע,SLINGER,NULL,NULL,H
1886,קלע,qála<sup>ʕ</sup>,קלע,RELIËF,NULL,NULL,H
1887,מוט,mut,מוט,WAGGELEN,NULL,NULL,H
1888,אשׁד,<sup>ʔ</sup>-s<sup>h</sup>-d,אשד,HELLING,NULL,NULL,H
1889,עצל,<sup>ʕ</sup>á<sup>t</sup>sal,עצל,TALMEN,NULL,NULL,H
1890,נום,num,נומ,SLUIMEREN,NULL,NULL,H
1891,קטן,qátan,קטנ,KLEIN,NULL,NULL,H
1892,בלג,bálag,בלג,STRALEN (gezicht),NULL,NULL,H
1893,נכה,nác<sup>h</sup>áh,נכה,SLAAN,NULL,NULL,H
1894,anāku,anāku,anāku,PASLOOD,NULL,NULL,NULL
1895,עשׁן,<sup>ʕ</sup>ás<sup>h</sup>an,עשנ,ROKEN,NULL,NULL,H
1896,לוח,l-w-<sup>c</sup>h,לוח,PLANK,NULL,NULL,H
1897,לחי,l-<sup>c</sup>h-j,לחי,KAAK,NULL,NULL,H
1898,גוזל,g-w-z-l,גוזל,JONGE+VOGEL,NULL,NULL,H
1899,גזל,gázal,גזל,WEGRUKKEN,NULL,NULL,H
1900,לעב,lá<sup>ʕ</sup>av,לעב,UITLACHEN,NULL,NULL,H
1901,עטשׁ,<sup>ʕ</sup>-t-s<sup>h</sup>,עטש,NIEZEN,NULL,NULL,H
1902,ערג,<sup>ʕ</sup>árag,ערג,SMACHTEN,NULL,NULL,H
1903,מול,mul,מול,BESNIJDEN,NULL,NULL,H
1904,מול,mul,מול,VOOR (tegenover),NULL,NULL,H
1905,המל,h-m-l,המל,TUMULT,NULL,NULL,H
1906,מלל,málal,מלל,PRATEN,NULL,NULL,H
1907,namlat,namlat,namlat,MIER,NULL,NULL,NULL
1908,שׁלג,s<sup>h</sup>álag,שלג,SNEEUWEN,NULL,NULL,H
1909,אך,<sup>ʔ</sup>-k,אכ,ZEKER,NULL,NULL,H
1910,כון,kun,כונ,VAST+STAAN,NULL,NULL,H
1911,kamānu,kamānu,kamānu,OFFERKOEK,NULL,NULL,NULL
1912,כן,k-l,כנ,ALZO,NULL,NULL,H
1913,כנה,kánáh,כנה,VLEIEN,NULL,NULL,H
1914,ntry,ntry,ntry,LOOG,NULL,NULL,NULL
1915,עפר,<sup>ʕ</sup>áfar,עפר,STOF,NULL,NULL,H
1916,abāru,abāru,abāru,LOOD,NULL,NULL,NULL
1917,עפר,<sup>ʕ</sup>áfar,עפר,REEKALF,NULL,NULL,H
1918,קדר,qádar,קדר,SOMBER,NULL,NULL,H
1919,בר,b-r,בר,ZOON,NULL,NULL,H
1920,עגם,<sup>ʕ</sup>ágam,עגמ,VERDRIETIG,NULL,NULL,H
1921,zana,zana,zana,SOORT (Pr.),NULL,NULL,NULL
1922,נפשׁ,náfas<sup>h</sup>,נפש,ADEMHALEN,NULL,NULL,H
1923,דור,dur,דור,ZUIDEN,NULL,NULL,H
1924,זרע,zára<sup>ʕ</sup>,זרע,ZAAIEN,NULL,NULL,H
1925,חמל,<sup>c</sup>hámal,חמל,ONTZIEN,NULL,NULL,H
1926,נזה,názáh,נזה,SPRENKELEN,NULL,NULL,H
1927,סגל,s-g-l,סגל,EIGENDOM,NULL,NULL,H
1928,נקד,n-q-d,נקד,DOORPRIKKEN,NULL,NULL,H
1929,נקד,n-q-d,נקד,SCHAPENHOEDER,NULL,NULL,H
1930,כסמת,k-s-m-t<sup>h</sup>,כסמת,SPELT (tarwe),NULL,NULL,H
1931,šammu,šammu,šammu,GEURSPECERIJ,NULL,NULL,NULL
1932,עכבישׁ,<sup>ʕ</sup>-k-b-j-s<sup>h</sup>,עכביש,SPIN,NULL,NULL,H
1933,חרץ,<sup>c</sup>hára<sup>t</sup>s,חרצ,GOUDKLEURIG,NULL,NULL,H
1934,חרץ,<sup>c</sup>hára<sup>t</sup>s,חרצ,VLIJTIG,NULL,NULL,H
1935,חרצן,<sup>c</sup>h-r-<sup>t</sup>s-l,חרצנ,PIT (druif),NULL,NULL,H
1936,תפת,t<sup>h</sup>-p-t<sup>h</sup>,תפת,BESPUWEN,NULL,NULL,H
1937,אלח,<sup>ʔ</sup>ála<sup>c</sup>h,אלח,VERDORVEN,NULL,NULL,H
1938,ערס,<sup>ʕ</sup>-r-s,ערס,MENGSEL,NULL,NULL,H
1939,סחשׁ,s-<sup>c</sup>h-s<sup>h</sup>,סחש,VANZELF+GEGROEID,NULL,NULL,H
1940,פוך,p-w-k,פוכ,POEDER,NULL,NULL,H
1941,פכה,pác<sup>h</sup>áh,פכה,SPATTEN,NULL,NULL,H
1942,פך,p-k,פכ,FLES,NULL,NULL,H
1943,ערף,<sup>ʕ</sup>áraf,ערפ,DRUPPEN,NULL,NULL,H
1944,פרשׂ,páras,פרש,UITSPREIDEN,NULL,NULL,H
1945,פרשׁ,páras<sup>h</sup>,פרש,RUITER,NULL,NULL,H
1946,פרשׁ,páras<sup>h</sup>,פרש,DREK,NULL,NULL,H
1947,שׁטח,s<sup>h</sup>áta<sup>c</sup>h,שטח,UITBREIDEN,NULL,NULL,H
1948,זרק,záraq,זרק,STROOIEN,NULL,NULL,H
1949,צמח,<sup>t</sup>sáma<sup>c</sup>h,צמח,SPRUITEN,NULL,NULL,H
1950,טען,tá<sup>ʕ</sup>an,טענ,BELADEN,NULL,NULL,H
