id,vidBegin,Woord,type,par,cit
375,45010020,-1,q*,0,0
376,45010021,7,q,0,1
377,45010021,7,in,0,0
378,45010021,-1,in*,0,0
379,45010021,-1,q*,0,0
380,45011001,,p,1,0
381,45011002,11,p,1,0
382,45011007,,p,1,0
383,45011009,,p,1,0
384,45011009,5,qml,0,0
385,45011009,5,in,0,0
386,45011009,17,in*,0,0
387,45011009,17,in,0,0
388,45011009,-1,in*,0,0
389,45011010,,in,0,0
390,45011010,10,in*,0,0
391,45011010,10,in,0,0
392,45011010,-1,in*,0,0
393,45011010,-1,qml*,0,0
394,45011012,,p,1,0
395,45011016,,p,1,0
396,45011019,,p,1,0
397,45011025,,p,1,0
398,45011026,10,qml,0,0
402,45011026,-1,in*,0,0
403,45011027,,in,0,0
404,45011027,9,in*,0,0
405,45011027,9,in,0,0
406,45011027,-1,in*,0,0
407,45011027,-1,qml*,0,0
408,45011029,,p,1,0
409,45011033,,p,1,0
410,45012001,,p,1,0
411,45012003,,p,1,0
412,45012009,,p,1,0
413,45012014,,p,1,0
414,45013001,,p,1,0
415,45013006,,p,1,0
416,45013008,,p,1,0
417,45013011,,p,1,0
418,45014001,,p,1,0
419,45014005,,p,1,0
420,45014010,,p,1,0
421,45014011,4,q,0,1
422,45014011,4,in,0,0
423,45014011,10,in*,0,0
424,45014011,10,in,0,0
425,45014011,15,in*,0,0
426,45014011,15,in,0,0
427,45014011,-1,in*,0,0
428,45014011,-1,q*,0,0
429,45014014,,p,1,0
430,45014019,,p,1,0
431,45014022,,p,1,0
432,45015001,,p,1,0
433,45015005,,p,1,0
434,45015008,,p,1,0
439,45015009,-1,in*,0,0
440,45015009,-1,q*,0,0
443,45015010,-1,in*,0,0
444,45015011,5,q,0,1
445,45015011,-1,in*,0,0
446,45015011,5,in,0,0
447,45015011,11,in*,0,0
448,45015011,11,in,0,0
449,45015011,-1,q*,0,0
450,45015012,6,q,0,1
451,45015012,6,in,0,0
452,45015012,13,in*,0,0
453,45015012,13,in,0,0
454,45015012,23,in*,0,0
455,45015012,23,in,0,0
456,45015012,-1,in*,0,0
457,45015012,-1,q*,0,0
458,45015014,,p,1,0
459,45015017,,p,1,0
460,45015021,5,q,0,1
461,45015021,5,in,0,0
462,45015021,11,in*,0,0
463,45015021,11,in,0,0
464,45015021,-1,in*,0,0
465,45015021,-1,q*,0,0
466,45015030,,p,1,0
467,45016001,,p,1,0
468,45016003,,p,1,0
469,45016005,7,p,1,0
470,45016017,,p,1,0
471,45016021,,p,1,0
472,45016025,,p,1,0
473,46001001,,p,1,0
474,46001003,,p,1,0
475,46001004,,p,1,0
476,46001010,,p,1,0
477,46001018,,p,1,0
478,46001026,,p,1,0
479,46002001,,p,1,0
480,46002006,,p,1,0
481,46002011,,p,1,0
482,46002014,,p,1,0
483,46003001,,p,1,0
484,46003005,,p,1,0
485,46003010,,p,1,0
486,46003016,,p,1,0
487,46003018,,p,1,0
488,46004001,,p,1,0
489,46004006,,p,1,0
490,46004014,,p,1,0
491,46004018,,p,1,0
492,46005001,,p,1,0
493,46005009,,p,1,0
494,46005006,,p,1,0
495,46006001,,p,1,0
496,46006007,,p,1,0
497,46006012,,p,1,0
498,46006015,,p,1,0
499,46007001,,p,1,0
500,46007008,,p,1,0
501,46007010,,p,1,0
502,46007012,,p,1,0
503,46007017,8,p,1,0
504,46007025,,p,1,0
505,46007029,,p,1,0
506,46007036,,p,1,0
507,46007039,,p,1,0
508,46008001,,p,1,0
509,46008009,,p,1,0
510,46009001,,p,1,0
511,46009003,,p,1,0
512,46009008,,p,1,0
513,46009013,,p,1,0
514,46009016,,p,1,0
515,46009019,,p,1,0
516,46009024,,p,1,0
517,46010001,,p,1,0
518,46010011,,p,1,0
519,46010014,,p,1,0
520,46010018,,p,1,0
521,46010023,,p,1,0
522,46010027,,p,1,0
524,46011002,,p,1,0
525,46011004,,p,1,0
526,46011013,,p,1,0
527,46011017,,p,1,0
528,46011020,,p,1,0
529,46011023,,p,1,0
530,46011025,,p,1,0
531,46011027,,p,1,0
532,46011033,,p,1,0
533,46012001,,p,1,0
534,46012004,,p,1,0
535,46012007,,p,1,0
536,46012012,,p,1,0
537,46012014,,p,1,0
538,46012020,,p,1,0
539,46012027,,p,1,0
540,46013001,,p,1,0
541,46013008,,p,1,0
542,46013013,,p,1,0
544,46014006,,p,1,0
545,46014013,,p,1,0
546,46014018,,p,1,0
547,46014020,,p,1,0
548,46014023,,p,1,0
549,46014026,,p,1,0
550,46014029,,p,1,0
551,46014034,,p,1,0
552,46014039,,p,1,0
553,46015001,,p,1,0
554,46015003,,p,1,0
555,46015008,,p,1,0
556,46015012,,p,1,0
557,46015020,,p,1,0
558,46015029,,p,1,0
559,46015035,,p,1,0
560,46015042,,p,1,0
561,46015045,,p,1,0
562,46015050,,p,1,0
563,46015054,,p,1,0
564,46015054,22,qml,0,0
565,46015054,22,in,0,0
566,46015054,-1,in*,0,0
567,46015055,,in,0,0
568,46015055,7,in*,0,0
569,46015055,7,in,0,0
570,46015055,-1,in*,0,0
571,46015055,-1,qml*,0,0
572,46015058,,p,1,0
573,46016001,,p,1,0
574,46016005,,p,1,0
575,46016010,,p,1,0
576,46016012,,p,1,0
577,46016013,,p,1,0
578,46016015,,p,1,0
579,46016017,,p,1,0
580,46016019,,p,1,0
581,46016021,,p,1,0
582,46016023,,p,1,0
583,47001001,,p,1,0
584,47001002,,p,1,0
585,47001003,,p,1,0
586,47001006,,p,1,0
587,47001008,,p,1,0
588,47001012,,p,1,0
589,47001018,,p,1,0
590,47001023,,p,1,0
591,47002001,,p,1,0
592,47002005,,p,1,0
593,47002009,,p,1,0
594,47002012,,p,1,0
595,47002014,,p,1,0
596,47003001,,p,1,0
597,47003007,,p,1,0
598,47003012,,p,1,0
599,47004001,,p,1,0
600,47004003,,p,1,0
601,47004007,,p,1,0
602,47004013,,p,1,0
603,47004016,,p,1,0
604,47005001,,p,1,0
605,47005006,,p,1,0
606,47005010,,p,1,0
607,47005011,,p,1,0
608,47005012,,p,1,0
609,47005018,,p,1,0
610,47005016,,p,1,0
611,47006001,,p,1,0
612,47006002,4,q,0,1
613,47006002,10,in*,0,0
614,47006002,4,in,0,0
615,47006002,10,in,0,0
617,47006002,17,in*,0,0
618,47006002,17,q*,0,0
619,47006003,,p,1,0
620,47006011,,p,1,0
621,47007001,,p,1,0
622,47007002,,p,1,0
623,47007011,,p,1,0
624,45009025,8,in,0,0
625,47008001,,p,1,0
626,47008009,,p,1,0
627,47008013,,p,1,0
628,47008016,,p,1,0
629,47009001,,p,1,0
630,47008022,,p,1,0
631,47010001,,p,1,0
633,47010013,,p,1,0
634,47011001,,p,1,0
635,47011007,,p,1,0
636,47011010,,p,1,0
637,47011016,,p,1,0
638,47011021,9,p,1,0
639,47011029,,p,1,0
640,47012001,,p,1,0
641,47012007,6,p,1,0
642,47012011,,p,1,0
643,47012014,,p,1,0
645,47012019,,p,1,0
646,47013001,,p,1,0
647,47013005,,p,1,0
648,47013013,,p,1,0
649,47013011,,p,1,0
650,66001001,,p,1,0
651,66001003,,p,1,0
652,66001005,20,p,1,0
653,66001007,,p,1,0
654,66001008,,p,1,0
655,66001009,,p,1,0
656,66001012,,p,1,0
657,66001017,,p,1,0
658,66002001,,p,1,0
659,66002007,12,p,1,0
660,66002007,,p,1,0
661,66002008,,p,1,0
662,66002009,,p,1,0
663,66002012,,p,1,0
664,66002011,,p,1,0
665,66002011,12,p,1,0
667,66002017,,p,1,0
668,66002017,12,p,1,0
669,66002026,,p,1,0
670,66002029,,p,1,0
671,66003001,,p,1,0
672,66003001,23,p,1,0
673,66003005,,p,1,0
674,66003012,,p,1,0
675,66003013,,p,1,0
676,66003021,,p,1,0
677,66004001,,p,1,0
678,66004002,,p,1,0
679,66004004,,p,1,0
680,66004005,,p,1,0
681,66004006,12,p,1,0
682,66004008,17,p,1,0
683,66004008,25,q,0,1
684,66004008,25,in,0,0
685,66004008,28,in*,0,0
686,66004008,28,in,0,0
687,66004008,33,in*,0,0
688,66004008,33,in,0,0
690,66004008,-1,in*,0,0
691,66004008,-1,q*,0,0
692,66004009,,p,1,0
693,66004011,,q,0,1
694,66004011,,in,0,0
695,66004011,10,in*,0,0
696,66004011,10,in,0,0
697,66004011,20,in*,0,0
698,66004011,20,in,0,0
699,66004011,-1,in*,0,0
