id,vidBegin,Woord,type,par,cit
1190,58001012,,in,0,0
1191,58001012,8,in*,0,0
1192,58001012,8,in,0,0
1193,58001012,14,in*,0,0
1194,58001012,14,in,0,0
1195,58001012,19,in*,0,0
1196,58001012,19,in,0,0
1197,58001012,-1,in*,0,0
1198,58001012,-1,qml*,0,0
1199,58001013,,p,1,0
1200,58001013,10,q,0,1
1201,58001013,10,in,0,0
1202,58001013,-1,in*,0,0
1203,58001013,-1,q*,0,0
1204,58002001,,p,1,0
1205,58002005,,p,1,0
1208,58002006,16,in*,0,0
1209,58002006,16,in,0,0
1211,58002006,-1,in*,0,0
1212,58002007,,in,0,0
1213,58002007,8,in*,0,0
1214,58002007,8,in,0,0
1215,58002007,14,in*,0,0
1216,58002007,14,in,0,0
1217,58002007,-1,in*,0,0
1218,58002008,,in,0,0
1219,58002008,8,in*,0,0
1220,58002008,8,qml*,0,0
1221,58002008,8,p,1,0
1222,58002012,3,q,0,1
1223,58002012,3,in,0,0
1224,58002012,12,in*,0,0
1225,58002012,12,in,0,0
1226,58002012,-1,in*,0,0
1227,58002012,-1,q*,0,0
1228,58002013,4,q,0,1
1229,58002013,9,q*,0,0
1231,58002013,12,q,0,1
1232,58002013,12,in,0,0
1233,58002013,-1,in*,0,0
1234,58002013,-1,q*,0,0
1235,58002013,4,in,0,0
1237,58002013,9,in*,0,0
1238,58002014,,p,1,0
1239,58003001,,p,1,0
1240,58003007,9,qml,0,0
1241,58003007,9,in,0,0
1242,58003007,-1,in*,0,0
1243,58003008,,in,0,0
1244,58003008,11,in*,0,0
1245,58003008,11,in,0,0
1246,58003008,-1,in*,0,0
1247,58003009,,in,0,0
1248,58003009,10,in*,0,0
1249,58003009,10,in,0,0
