id,tekst,vid,WoordVan,WoordTot,WoordVan_v,WoordTot_v
709,K/Q,20019016,9,9,9,9
710,K/Q,20019019,1,1,1,1
711,K/Q,20020004,6,6,6,7
712,K/Q,20020016,9,9,9,9
713,K/Q,20020020,10,11,10,11
714,K/Q,20020021,2,2,2,2
715,K/Q,20020030,3,3,3,3
716,K/Q,20021019,8,8,8,8
717,K/Q,20021029,10,12,10,12
718,K/Q,20022003,4,5,4,5
719,K/Q,20022008,3,3,3,3
720,K/Q,20022011,2,2,2,2
721,K/Q,20022014,7,7,7,7
722,K/Q,20022020,6,6,6,6
723,K/Q,20022025,3,4,3,4
724,K/Q,20023003,2,2,2,2
725,K/Q,20023005,1,2,1,2
726,K/Q,20023005,18,19,18,18
727,K/Q,20023006,9,9,9,9
728,K/Q,20023024,1,2,1,2
729,K/Q,20023024,5,5,5,6
730,K/Q,20023024,7,8,8,8
731,K/Q,20023026,13,13,13,13
732,K/Q,20023029,9,9,9,9
733,K/Q,20023031,8,10,8,10
734,K/Q,20024001,8,8,8,8
735,K/Q,20024017,3,4,3,4
736,K/Q,20025024,8,8,8,8
737,K/Q,20026002,14,14,14,15
738,K/Q,20026021,10,10,10,10
739,K/Q,20026024,1,3,1,3
740,K/Q,20027010,3,4,3,4
741,K/Q,20027015,8,8,8,8
742,K/Q,20027020,2,3,2,3
743,K/Q,20027024,11,11,11,12
744,K/Q,20028008,6,8,6,7
745,K/Q,20028016,7,7,7,7
746,K/Q,20030010,5,6,5,6
747,K/Q,20030018,6,7,6,7
748,K/Q,20031004,15,15,15,15
749,K/Q,20031016,10,10,10,10
750,K/Q,20031018,8,10,8,10
751,K/Q,21004008,21,22,21,22
752,K/Q,21004017,2,3,2,3
753,K/Q,21005008,7,7,7,7
754,K/Q,21005010,16,16,16,16
755,K/Q,21006010,19,20,19,20
756,K/Q,21007022,10,10,10,10
757,K/Q,21009004,4,4,4,4
758,K/Q,21010003,6,9,6,8
759,K/Q,21010010,15,15,15,15
760,K/Q,21010020,26,27,26,26
761,K/Q,21012006,4,4,4,4
762,K/Q,22001017,5,6,5,6
763,K/Q,22002011,3,4,3,4
764,K/Q,22002013,13,13,13,14
765,K/Q,22004009,8,9,8,9
766,K/Q,23003015,1,3,1,3
767,K/Q,23003016,11,11,11,11
768,K/Q,23005029,7,8,7,7
769,K/Q,23009002,4,4,4,5
770,K/Q,23009006,1,2,1,2
771,K/Q,23010006,20,23,20,23
772,K/Q,23010013,18,20,18,20
773,K/Q,23010032,12,12,12,12
774,K/Q,23012005,6,6,6,6
775,K/Q,23013016,14,14,14,14
776,K/Q,23016003,1,1,1,1
777,K/Q,23018004,7,7,7,7
778,K/Q,23023012,13,13,13,13
779,K/Q,23023013,15,16,15,16
780,K/Q,23025010,18,19,18,18
781,K/Q,23026020,10,11,10,11
782,K/Q,23026020,19,19,19,19
783,K/Q,23028015,12,12,12,12
784,K/Q,23028015,15,15,15,15
785,K/Q,23029011,20,21,20,20
786,K/Q,23030032,22,23,22,23
787,K/Q,23030033,7,7,7,7
788,K/Q,23032007,11,11,11,11
789,K/Q,23032015,14,15,14,16
790,K/Q,23036012,36,37,35,36
791,K/Q,23036012,42,43,41,43
792,K/Q,23037030,30,31,30,31
793,K/Q,23039002,11,12,11,12
794,K/Q,23041023,17,18,17,18
795,K/Q,23042020,1,1,1,1
796,K/Q,23042024,3,4,3,4
797,K/Q,23044017,10,10,10,10
798,K/Q,23044024,23,25,23,25
799,K/Q,23045002,8,8,8,8
800,K/Q,23046011,9,10,9,10
801,K/Q,23047013,11,11,11,11
802,K/Q,23049005,20,20,20,21
803,K/Q,23049006,15,16,15,16
804,K/Q,23049013,6,6,6,7
805,K/Q,23052002,7,7,7,7
806,K/Q,23052005,3,5,3,5
807,K/Q,23052005,14,15,14,15
808,K/Q,23054016,1,1,1,1
809,K/Q,23055013,6,6,6,7
810,K/Q,23056010,1,1,1,2
811,K/Q,23057019,2,2,2,2
812,K/Q,23058014,9,9,9,9
813,K/Q,23060021,12,13,12,13
814,K/Q,23062003,8,9,8,9
815,K/Q,23063009,5,5,5,6
816,K/Q,23065004,16,17,16,17
817,K/Q,23065007,26,26,26,26
818,K/Q,23066017,10,10,10,10
819,K/Q,24001005,3,4,3,4
820,K/Q,24002003,6,7,6,7
821,K/Q,24002015,16,16,16,16
822,K/Q,24002016,4,5,4,5
823,K/Q,24002020,13,13,13,13
824,K/Q,24002024,6,7,6,7
825,K/Q,24002025,6,8,6,8
826,K/Q,24002027,13,14,13,14
827,K/Q,24002033,13,13,13,13
828,K/Q,24003002,10,10,10,10
829,K/Q,24003004,5,5,5,5
830,K/Q,24003005,10,10,10,10
831,K/Q,24003007,15,16,15,16
832,K/Q,24003019,24,24,24,24
833,K/Q,24003019,32,32,32,32
834,K/Q,24004005,10,11,10,10
835,K/Q,24004019,5,5,5,5
836,K/Q,24004019,19,19,19,19
837,K/Q,24004030,1,2,1,2
838,K/Q,24005007,4,4,4,4
839,K/Q,24005024,16,17,16,16
840,K/Q,24006007,3,3,3,3
841,K/Q,24006021,26,26,26,27
842,K/Q,24006025,2,2,2,2
843,K/Q,24006025,10,10,10,10
844,K/Q,24006029,3,5,3,5
845,K/Q,24007022,13,13,13,14
846,K/Q,24008001,8,9,8,8
847,K/Q,24008006,20,22,20,22
848,K/Q,24008007,11,12,11,12
849,K/Q,24009007,2,2,2,2
850,K/Q,24010013,15,15,15,16
851,K/Q,24010017,6,6,6,6
852,K/Q,24013016,28,28,28,29
853,K/Q,24013020,1,1,1,1
854,K/Q,24013020,4,5,4,5
855,K/Q,24014003,5,6,5,6
856,K/Q,24014014,29,32,29,32
857,K/Q,24015004,4,5,4,5
858,K/Q,24015008,4,5,4,5
859,K/Q,24015009,8,8,8,8
860,K/Q,24015011,5,6,5,6
861,K/Q,24015016,9,10,9,10
862,K/Q,24016016,4,5,4,5
863,K/Q,24017008,16,16,16,16
864,K/Q,24017010,12,14,12,14
865,K/Q,24017011,14,15,14,15
866,K/Q,24017013,8,9,8,10
867,K/Q,24017019,12,12,12,13
868,K/Q,24017023,17,17,17,17
869,K/Q,24017024,34,35,34,35
870,K/Q,24018003,6,8,6,8
871,K/Q,24018010,3,4,3,4
872,K/Q,24018016,7,7,7,7
873,K/Q,24018022,14,14,14,14
874,K/Q,24018023,28,29,28,29
875,K/Q,24019002,10,11,9,10
876,K/Q,24019015,9,9,9,9
877,K/Q,24021009,32,32,32,33
878,K/Q,24021012,32,33,32,33
879,K/Q,24022004,34,36,34,36
880,K/Q,24022006,23,23,23,23
881,K/Q,24022018,29,30,29,30
882,K/Q,24022023,1,1,1,1
883,K/Q,24022023,5,5,5,5
884,K/Q,24023018,16,17,16,17
885,K/Q,24024009,4,5,4,5
886,K/Q,24025007,9,10,9,10
887,K/Q,24025013,1,2,1,2
888,K/Q,24026006,14,15,14,15
889,K/Q,24026018,1,1,1,1
890,K/Q,24027020,12,12,12,12
891,K/Q,24028001,14,16,14,16
892,K/Q,24029014,10,11,10,11
893,K/Q,24029018,18,19,18,19
894,K/Q,24029023,26,27,26,27
895,K/Q,24031021,16,16,16,16
896,K/Q,24031039,4,4,4,4
897,K/Q,24031040,12,13,12,13
898,K/Q,24032001,10,12,10,12
899,K/Q,24032004,29,30,29,30
900,K/Q,24032023,13,16,13,16
901,K/Q,24032035,41,41,40,40
902,K/Q,24033008,14,15,14,15
903,K/Q,24033026,22,22,22,22
904,K/Q,24034011,17,19,17,19
905,K/Q,24034017,44,45,44,45
906,K/Q,24037004,16,17,16,17
907,K/Q,24037019,1,3,1,2
908,K/Q,24038002,28,28,28,29
909,K/Q,24038011,25,26,24,24
910,K/Q,24038016,15,16,15,15
911,K/Q,24039012,16,17,16,16
912,K/Q,24039016,19,19,18,18
913,K/Q,24040003,23,23,23,24
914,K/Q,24040008,23,23,23,23
915,K/Q,24040016,11,11,11,11
916,K/Q,24041017,7,8,7,7
917,K/Q,24042006,12,12,12,12
918,K/Q,24042020,2,3,2,2
919,K/Q,24043010,38,39,38,39
920,K/Q,24043011,1,2,1,2
921,K/Q,24046011,12,12,12,12
922,K/Q,24048004,5,6,5,6
923,K/Q,24048005,3,4,3,4
924,K/Q,24048007,17,17,17,17
925,K/Q,24048007,26,26,26,26
926,K/Q,24048018,4,4,4,5
927,K/Q,24048020,5,7,5,7
928,K/Q,24048021,15,15,15,15
929,K/Q,24048027,13,13,13,13
930,K/Q,24048044,1,2,1,2
931,K/Q,24049025,5,5,5,5
932,K/Q,24049028,9,9,9,9
933,K/Q,24049030,21,22,21,22
934,K/Q,24049036,31,31,31,31
935,K/Q,24049039,7,7,7,7
936,K/Q,24049039,9,9,9,9
937,K/Q,24050006,3,3,3,3
938,K/Q,24050006,11,11,11,12
939,K/Q,24050008,9,9,9,9
940,K/Q,24050011,2,2,2,2
941,K/Q,24050011,4,4,4,4
942,K/Q,24050011,9,9,9,9
943,K/Q,24050011,13,14,13,14
944,K/Q,24050015,9,10,9,10
945,K/Q,24050044,14,15,14,15
946,K/Q,24051003,2,3,2,2
947,K/Q,24051009,1,1,1,1
948,K/Q,24051013,1,1,1,1
949,K/Q,24051034,1,4,1,4
950,K/Q,24051034,8,9,8,9
951,K/Q,24051034,12,13,12,13
952,K/Q,24051034,23,24,23,24
953,K/Q,24052001,21,21,21,21
954,K/Q,24052011,21,22,21,21
955,K/Q,24052021,7,7,7,7
956,K/Q,24052031,44,45,43,44
957,K/Q,24052032,15,15,15,16
958,K/Q,25001006,3,4,3,4
959,K/Q,25001011,8,9,8,9
960,K/Q,25001018,11,11,11,12
961,K/Q,25002002,3,3,3,4
962,K/Q,25002014,17,18,17,18
963,K/Q,25002019,3,5,3,5
964,K/Q,25003010,6,6,6,6
965,K/Q,25003020,3,4,3,4
966,K/Q,25003025,3,5,3,5
967,K/Q,25003032,8,9,8,9
968,K/Q,25003039,7,8,7,8
969,K/Q,25004003,2,2,2,2
970,K/Q,25004003,13,14,13,15
971,K/Q,25004012,5,6,5,5
972,K/Q,25004016,14,14,14,15
973,K/Q,25004017,1,2,1,2
974,K/Q,25004021,6,6,6,6
975,K/Q,25005001,7,7,7,7
976,K/Q,25005003,3,3,3,4
977,K/Q,25005005,6,6,6,7
978,K/Q,25005007,4,6,4,8
979,K/Q,25005021,6,7,6,7
980,K/Q,26001008,1,3,1,2
981,K/Q,26003015,13,14,12,13
982,K/Q,26003020,30,31,30,31
983,K/Q,26004006,10,11,10,11
984,K/Q,26004015,10,10,10,10
985,K/Q,26006003,23,26,23,26
986,K/Q,26007002,17,17,17,17
987,K/Q,26007021,17,19,17,19
988,K/Q,26008006,10,11,10,11
989,K/Q,26009004,4,5,4,5
990,K/Q,26009005,16,16,16,16
991,K/Q,26009005,18,19,18,19
992,K/Q,26009011,19,21,19,21
993,K/Q,26012014,6,7,6,7
994,K/Q,26014004,44,45,44,44
995,K/Q,26014014,12,12,12,12
996,K/Q,26014020,3,3,3,3
997,K/Q,26016013,9,9,9,9
998,K/Q,26016013,19,19,19,19
999,K/Q,26016018,16,16,16,16
1000,K/Q,26016020,23,25,23,25
1001,K/Q,26016022,10,10,10,10
1002,K/Q,26016025,24,25,24,25
1003,K/Q,26016031,13,13,13,13
1004,K/Q,26016031,19,19,19,19
1005,K/Q,26016043,4,4,4,4
1006,K/Q,26016043,30,30,30,30
1007,K/Q,26016047,11,11,11,11
1008,K/Q,26016051,19,20,19,20
1009,K/Q,26016051,26,26,26,26
1010,K/Q,26016053,7,7,7,7
1011,K/Q,26016053,14,14,14,14
1012,K/Q,26016053,19,20,19,20
1013,K/Q,26016059,6,7,6,7
1014,K/Q,26017021,4,5,4,5
1015,K/Q,26018020,30,30,30,31
1016,K/Q,26018021,8,9,8,9
1017,K/Q,26018024,23,24,23,24
1018,K/Q,26018028,3,4,3,4
1019,K/Q,26021028,5,6,5,6
1020,K/Q,26022018,8,9,8,9
1021,K/Q,26023014,14,14,14,14
1022,K/Q,26023016,1,2,1,2
1023,K/Q,26023042,14,14,14,14
1024,K/Q,26023043,7,8,7,8
1025,K/Q,26024002,3,3,3,3
1026,K/Q,26025007,13,14,13,14
1027,K/Q,26025009,23,24,21,22
1028,K/Q,26027003,5,6,5,6
1029,K/Q,26027006,15,15,15,15
1030,K/Q,26027015,12,13,12,13
1031,K/Q,26028003,4,5,4,5
1032,K/Q,26029004,3,3,3,3
1033,K/Q,26029007,6,8,6,8
1034,K/Q,26030016,7,7,7,7
1035,K/Q,26031005,17,18,17,18
1036,K/Q,26031018,32,33,32,33
1037,K/Q,26032031,9,10,9,10
1038,K/Q,26032032,4,5,4,5
1039,K/Q,26032032,20,21,20,21
1040,K/Q,26033013,19,20,19,20
1041,K/Q,26033016,2,3,2,3
1042,K/Q,26035009,9,9,9,9
1043,K/Q,26035012,18,18,18,18
1044,K/Q,26036013,11,11,11,11
1045,K/Q,26036013,14,15,14,15
1046,K/Q,26036014,6,8,6,8
1047,K/Q,26036014,10,10,10,10
1048,K/Q,26036015,16,18,16,18
1049,K/Q,26037016,20,21,20,21
1050,K/Q,26037016,38,39,38,39
1051,K/Q,26037019,21,22,21,22
1052,K/Q,26037022,25,25,25,25
1053,K/Q,26039011,36,37,36,37
1054,K/Q,26039025,9,9,9,9
1055,K/Q,26040006,13,15,13,15
1056,K/Q,26040009,9,11,9,11
1057,K/Q,26040015,6,7,6,7
1058,K/Q,26040021,1,3,1,3
1059,K/Q,26040021,11,16,11,16
1060,K/Q,26040022,1,9,1,9
1061,K/Q,26040022,27,29,27,29
1062,K/Q,26040024,15,19,15,19
1063,K/Q,26040025,5,8,5,8
1064,K/Q,26040026,4,8,4,8
1065,K/Q,26040026,24,25,24,25
1066,K/Q,26040029,1,9,1,9
1067,K/Q,26040029,19,22,19,22
1068,K/Q,26040031,1,3,1,3
1069,K/Q,26040031,11,12,11,12
1070,K/Q,26040031,16,17,16,17
1071,K/Q,26040033,1,9,1,9
1072,K/Q,26040033,19,22,19,22
1073,K/Q,26040034,1,3,1,3
1074,K/Q,26040034,12,13,12,13
1075,K/Q,26040034,22,23,22,23
1076,K/Q,26040036,1,7,1,7
1077,K/Q,26040037,1,3,1,3
1078,K/Q,26040037,12,13,12,13
1079,K/Q,26040037,22,23,22,23
1080,K/Q,26041008,9,9,9,9
1081,K/Q,26041015,14,16,14,16
1082,K/Q,26042009,1,4,1,5
1083,K/Q,26042009,7,8,8,9
1084,K/Q,26042014,29,29,29,30
1085,K/Q,26042016,10,10,10,10
1086,K/Q,26043011,22,23,22,23
1087,K/Q,26043011,31,32,31,32
1088,K/Q,26043011,35,36,35,36
1089,K/Q,26043015,6,9,6,9
1090,K/Q,26043016,1,3,1,3
1091,K/Q,26043026,13,14,13,14
1092,K/Q,26044003,9,10,9,10
1093,K/Q,26044005,36,37,36,37
1094,K/Q,26044024,6,7,6,7
1095,K/Q,26044024,11,13,11,12
1096,K/Q,26045003,9,9,9,9
1097,K/Q,26045005,11,11,11,12
1098,K/Q,26046009,46,46,46,46
1099,K/Q,26046015,1,2,1,1
1100,K/Q,26046019,27,29,27,29
1101,K/Q,26047008,29,30,29,30
1102,K/Q,26047010,3,3,3,3
1103,K/Q,26047011,1,2,1,2
1104,K/Q,26047012,38,39,38,39
1105,K/Q,26048014,11,11,11,11
1106,K/Q,26048015,29,31,29,31
1107,K/Q,26048016,15,16,15,15
1108,K/Q,26048018,28,29,28,29
1109,K/Q,26048021,57,59,57,59
1110,K/Q,27001004,7,7,7,7
1111,K/Q,27002004,15,17,15,17
1112,K/Q,27002005,5,6,5,6
1113,K/Q,27002009,16,16,16,16
1114,K/Q,27002010,2,2,2,2
1115,K/Q,27002022,10,11,10,11
1116,K/Q,27002026,11,13,11,13
1117,K/Q,27002029,1,1,1,1
1118,K/Q,27002031,1,1,1,1
1119,K/Q,27002033,7,8,7,8
1120,K/Q,27002033,11,13,11,13
1121,K/Q,27002037,1,1,1,1
1122,K/Q,27002038,5,5,5,5
1123,K/Q,27002038,23,23,23,23
1124,K/Q,27002039,12,12,12,12
1125,K/Q,27002040,3,3,3,3
1126,K/Q,27002041,7,8,7,8
1127,K/Q,27002041,12,14,12,14
1128,K/Q,27002042,4,5,4,5
1129,K/Q,27002042,7,9,7,9
1130,K/Q,27002043,1,1,1,2
1131,K/Q,27003003,23,24,23,24
1132,K/Q,27003005,8,8,8,8
1133,K/Q,27003007,16,16,16,16
1134,K/Q,27003010,1,1,1,1
1135,K/Q,27003010,13,13,13,13
1136,K/Q,27003010,16,17,16,17
1137,K/Q,27003012,21,22,20,21
1138,K/Q,27003012,25,27,24,26
1139,K/Q,27003015,14,14,14,14
1140,K/Q,27003018,14,15,14,15
1141,K/Q,27003019,10,10,10,10
1142,K/Q,27003021,9,10,9,10
1143,K/Q,27003025,24,24,24,24
1144,K/Q,27003026,22,22,21,21
1145,K/Q,27003028,33,34,32,33
1146,K/Q,27003029,14,14,14,14
1147,K/Q,27003031,10,10,10,10
1148,K/Q,27003032,9,9,9,9
1149,K/Q,27004004,3,3,3,3
1150,K/Q,27004004,6,6,6,6
1151,K/Q,27004009,23,23,23,23
1152,K/Q,27004013,4,4,4,4
1153,K/Q,27004014,16,16,16,16
1154,K/Q,27004014,19,19,19,19
1155,K/Q,27004014,31,32,31,32
1156,K/Q,27004015,7,8,7,8
1157,K/Q,27004015,27,28,27,28
1158,K/Q,27004016,32,33,32,33
1159,K/Q,27004016,35,37,35,37
1160,K/Q,27004016,41,43,41,43
1161,K/Q,27004019,1,1,1,1
1162,K/Q,27004021,6,6,6,6
1163,K/Q,27004021,11,12,11,12
1164,K/Q,27004022,32,33,32,33
1165,K/Q,27004022,39,39,39,39
1166,K/Q,27004024,6,10,6,10
1167,K/Q,27004029,23,24,23,24
1168,K/Q,27004029,30,30,30,30
1169,K/Q,27004031,18,20,18,20
1170,K/Q,27004032,3,3,3,3
1171,K/Q,27004032,16,17,16,17
1172,K/Q,27005005,4,4,4,4
1173,K/Q,27005007,9,9,9,9
1174,K/Q,27005007,33,34,33,34
1175,K/Q,27005008,2,2,2,2
1176,K/Q,27005008,12,13,12,14
1177,K/Q,27005010,12,12,12,12
1178,K/Q,27005013,13,13,13,13
1179,K/Q,27005014,3,4,3,4
1180,K/Q,27005016,4,5,4,5
1181,K/Q,27005016,7,7,7,7
1182,K/Q,27005016,17,17,17,17
1183,K/Q,27005016,29,30,29,30
1184,K/Q,27005018,1,1,1,1
1185,K/Q,27005018,4,4,4,4
1186,K/Q,27005019,14,14,14,14
1187,K/Q,27005021,11,11,11,11
1188,K/Q,27005021,35,35,35,35
1189,K/Q,27005021,45,46,45,46
1190,K/Q,27005022,1,2,1,2
1191,K/Q,27005023,13,19,13,19
1192,K/Q,27005029,10,11,10,11
1193,K/Q,27005030,8,8,8,8
1194,K/Q,27006001,3,3,3,3
1195,K/Q,27006014,18,19,18,19
1196,K/Q,27006017,24,24,24,24
1197,K/Q,27006021,26,26,26,26
1198,K/Q,27006023,26,27,26,27
1199,K/Q,27006026,13,13,13,13
1200,K/Q,27006027,13,13,13,13
1201,K/Q,27006029,12,12,12,12
1202,K/Q,27007005,21,22,21,22
1203,K/Q,27007006,18,19,18,19
1204,K/Q,27007007,11,11,11,11
1205,K/Q,27007007,30,32,30,32
1206,K/Q,27007008,11,12,11,12
1207,K/Q,27007008,18,18,18,18
1208,K/Q,27007008,20,21,20,21
1209,K/Q,27007010,11,11,11,11
1210,K/Q,27007010,16,16,16,16
1211,K/Q,27007019,12,13,12,13
1212,K/Q,27007019,16,17,16,17
1213,K/Q,27007020,13,14,13,14
1214,K/Q,27007020,16,17,16,17
1215,K/Q,27007023,6,6,6,6
1216,K/Q,27007025,5,5,5,5
1217,K/Q,27008011,10,10,10,10
1218,K/Q,27009005,4,5,4,4
1219,K/Q,27009012,4,5,4,5
1220,K/Q,27009018,8,8,8,8
1221,K/Q,27009024,16,19,16,19
1222,K/Q,27011010,1,3,1,3
1223,K/Q,27011010,19,20,19,20
1224,K/Q,27011010,22,23,22,23
1225,K/Q,27011012,5,5,5,6
1226,K/Q,27011018,1,2,1,2
1227,K/Q,27011039,10,10,10,10
1228,K/Q,28006010,5,5,5,5
1229,K/Q,28008012,1,1,1,1
1230,K/Q,28008012,4,4,4,4
1231,K/Q,28009016,7,7,7,7
1232,K/Q,28010010,17,18,17,18
1233,K/Q,29004001,15,15,15,15
1234,K/Q,30008004,9,9,9,9
1235,K/Q,30008008,23,24,23,24
1236,K/Q,30009006,6,7,6,7
1237,K/Q,31001011,16,17,16,17
1238,K/Q,33001003,13,13,13,13
1239,K/Q,33001008,7,7,7,7
1240,K/Q,33001010,13,13,13,13
1241,K/Q,33003002,5,5,5,5
1242,K/Q,34001003,4,5,4,5
1243,K/Q,34002001,20,21,20,21
1244,K/Q,34002006,5,7,5,7
1245,K/Q,34003003,21,21,21,22
1246,K/Q,35003004,16,17,16,17
1247,K/Q,35003014,6,7,6,7
1248,K/Q,36002007,26,27,26,27
1249,K/Q,36002009,35,35,35,36
1250,K/Q,37001008,15,16,15,16
1251,K/Q,38001004,27,29,27,29
1252,K/Q,38001016,18,19,18,19
1253,K/Q,38002008,3,4,3,4
1254,K/Q,38004002,8,9,8,9
1255,K/Q,38011002,15,16,15,16
1256,K/Q,38014002,23,23,23,23
1257,K/Q,38014006,12,12,12,13
